id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0008150	biological_process	0.925645172580789	55281	1.03130063372839	7.23980477847314e-179	6.66930816192946e-175	211835	11809	19692	0.999620842203239	0.634370192300483	0.986298432315957
GO:0009987	cellular process	0.889246465998428	53116	1.03147130095805	6.99942919550992e-111	3.22393708745187e-107	212472	10632	17671	1.00291897510222	0.107563959126501	0.540871108451216
GO:0016199	axon midline choice point recognition	0.00337927799805142	453	2.31487857772555	7.66806446818021e-56	2.3546069960292e-52	411167	6	7	1.4287795234627	0.158471873989561	0.632852658539626
GO:0050896	response to stimulus	0.621972634172809	37764	1.04848119774748	1.88629544628279e-51	4.34413841278926e-48	208610	6122	10025	1.01793711884406	0.0011228490839158	0.0476667546591353
GO:0035295	tube development	0.15092102049099	10024	1.14695204337344	1.00310979766687e-48	1.84812949122145e-45	263114	838	1249	1.11839080392743	5.39194505887117e-08	1.8396517734193e-05
GO:0061302	smooth muscle cell-matrix adhesion	0.000659534699057905	159	4.16306708775597	3.48952126289377e-48	5.35757831229624e-45	318081	6	7	1.4287795234627	0.158471873989561	0.632852658539626
GO:2000097	regulation of smooth muscle cell-matrix adhesion	0.000594817585470255	145	4.2095738908195	1.22951429158461e-44	1.61804080772535e-41	343526	4	5	1.33352755523185	0.336783831361234	0.801046386392896
GO:0060976	coronary vasculature development	0.0111104252327312	1020	1.58534367847826	2.62762937618565e-43	3.02571522667778e-40	286440	59	79	1.24490705314366	0.00442778148621952	0.119966832503101
GO:0001890	placenta development	0.0188079842775272	1567	1.43873456675083	4.08296573582881e-43	4.17914226205056e-40	205775	129	199	1.08055938834742	0.0917950208374864	0.510253819223908
GO:0071873	response to norepinephrine	0.00127090653397412	217	2.94849269379527	8.12512291472677e-42	7.4848632290463e-39	319092	5	5	1.66690944403982	0.0776782304941433	0.470770960073716
GO:0016198	axon choice point recognition	0.00396566435334616	453	1.97258707466453	5.4848322482038e-39	4.59329769731395e-36	411167	6	9	1.11127296269321	0.482378263516669	0.909157796217794
GO:0048565	digestive tract development	0.0219104069198666	1740	1.37136398429489	4.77096353819365e-37	3.66250967615333e-34	300644	102	149	1.14110579390645	0.0199599006661536	0.264943234778973
GO:0042554	superoxide anion generation	0.00352479093848457	408	1.99885243866278	1.83972282115013e-36	1.303655894495e-33	168053	40	51	1.30737995610966	0.00423724470799821	0.116171125744284
GO:1900272	negative regulation of long-term synaptic potentiation	0.0017055545418044	246	2.49071152010437	9.81549090603977e-36	6.45859301617417e-33	222358	8	14	0.952519682308466	0.692264902506187	0.990147271247282
GO:0050907	detection of chemical stimulus involved in sensory perception	0.0173981033312791	1416	1.40544961885206	1.0521116314972e-34	6.46136823290148e-32	55652	627	1156	0.904110918177305	0.99998066709229	0.999999837384315
GO:0014832	urinary bladder smooth muscle contraction	0.00204195692425505	274	2.31717012822636	1.50646592007686e-34	8.67347753484254e-32	395724	9	12	1.25018208302986	0.225078967614464	0.712473332723743
GO:0042364	water-soluble vitamin biosynthetic process	0.00118938248332348	192	2.78762034306352	3.80706261609467e-34	2.06298004820377e-31	264875	12	14	1.4287795234627	0.0396870240853554	0.373091345728355
GO:0007608	sensory perception of smell	0.0177792000720609	1437	1.39572059074906	6.25346276562313e-34	3.20038327760668e-31	59772	608	1132	0.89530118549135	0.99999548888707	0.999999837384315
GO:0071870	cellular response to catecholamine stimulus	0.0071313790115467	679	1.6441831395223	1.68225902895362e-33	8.1563000919583e-31	282578	39	54	1.20387904291764	0.0425578669971293	0.384220830172333
GO:0071869	response to catecholamine	0.00751038550827376	707	1.62559037235157	1.93244569934958e-33	8.90084489120418e-31	277625	42	58	1.20707235602883	0.0338415872858207	0.340768060086636
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	0.015243632052035	1253	1.41943839441661	1.78615808281848e-32	7.83528012329708e-30	53016	589	1099	0.893366389935807	0.999995728481449	0.999999837384315
GO:0055123	digestive system development	0.0235948641230507	1817	1.32981547105269	3.73433862972778e-32	1.56366942986601e-29	291969	115	164	1.16886942722304	0.00442698133182516	0.119966832503101
GO:0140447	cytokine precursor processing	0.000762713587466042	142	3.21499865617413	1.30875512400023e-31	5.24184878360441e-29	367629	4	5	1.33352755523185	0.336783831361234	0.801046386392896
GO:1901135	carbohydrate derivative metabolic process	0.0893333795851136	5984	1.1567293502871	3.83624422745219e-31	1.47247840930373e-28	239186	612	996	1.02424556200037	0.176950314956211	0.653595148908024
GO:0072282	metanephric nephron tubule morphogenesis	0.00135611325168915	200	2.54675970866414	1.46182757522622e-30	5.38654224919359e-28	319397	4	8	0.833454722019908	0.826239376834811	0.999999837384315
GO:0007030	Golgi organization	0.0111614178960162	955	1.47753554430761	2.36125113480222e-30	8.36609440530694e-28	247781	93	138	1.12335201663553	0.0439780275577051	0.384220830172333
GO:0001892	embryonic placenta development	0.0125572861996569	1051	1.44530950244877	5.15742523811379e-30	1.7596370849446e-27	249871	78	119	1.09259610617736	0.125288800799435	0.574884018074373
GO:0098659	inorganic cation import across plasma membrane	0.0141363443383298	1159	1.41579461201656	9.32925997349249e-30	2.96348768537286e-27	285822	89	133	1.11545068059807	0.0597700510814473	0.438028409357432
GO:0099587	inorganic ion import across plasma membrane	0.0141363443383298	1159	1.41579461201656	9.32925997349249e-30	2.96348768537286e-27	285822	89	133	1.11545068059807	0.0597700510814473	0.438028409357432
