id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0005575	cellular_component	0.927239467140663	55482	1.03327074623711	1.21465947796754e-209	1.43329818400169e-206	211705	12010	19971	1.00243264848621	0.0091133169951662	0.170693873877716
GO:0110165	cellular anatomical structure	0.908990124949041	54478	1.0349417925359	1.87471030527026e-175	1.10607908010945e-172	210871	11503	19103	1.00374073887819	0.010271472211999	0.176574536130037
GO:0016020	membrane	0.625003250095325	38390	1.06069316664927	1.02594606954122e-80	4.0353878735288e-78	215170	6032	9925	1.01307786059931	0.0138224709773195	0.211824879912168
GO:0005797	Golgi medial cisterna	0.00209119135008512	294	2.42776972407659	2.10001978413217e-40	6.1950583631899e-38	315646	18	25	1.20017479970867	0.1531906354392	0.73567829458734
GO:0032993	protein-DNA complex	0.0153161794600752	1283	1.44653899174002	1.8004928672167e-36	4.24916316663142e-34	227743	136	240	0.944582018289229	0.869227059360289	0.999999996545253
GO:0005622	intracellular anatomical structure	0.785783563507516	46716	1.02663636622991	9.79810799941883e-36	1.9269612398857e-33	213408	8690	14467	1.00127483712629	0.371086702602057	0.95607491063412
GO:0071944	cell periphery	0.500027912350091	30337	1.04768884078839	8.84625288009883e-31	1.49122548550237e-28	220034	4342	7075	1.02299940721143	0.00180060652675034	0.0544798897837283
GO:0016012	sarcoglycan complex	0.00148265497995377	208	2.42257465286423	5.37063155260468e-29	7.9216815400919e-27	334161	6	6	1.66690944403982	0.0465926044317806	0.410293083802247
GO:0000782	telomere cap complex	0.000835507262062702	144	2.97622799652019	9.56637037768635e-29	1.12883170456699e-26	309258	7	11	1.06076055529806	0.532533032368352	0.999999996545253
GO:0000783	nuclear telomere cap complex	0.000835507262062702	144	2.97622799652019	9.56637037768635e-29	1.12883170456699e-26	309258	7	11	1.06076055529806	0.532533032368352	0.999999996545253
GO:0016011	dystroglycan complex	0.00151666620441326	209	2.37963425032213	3.57480691842139e-28	3.83479287612476e-26	332603	7	7	1.66690944403982	0.0279460595054838	0.305336576078434
GO:0043601	nuclear replisome	0.00170863438459855	224	2.26387691564029	2.76022680577704e-27	2.71422302568076e-25	346419	13	21	1.03189632250084	0.523386469570433	0.999999996545253
GO:0005583	fibrillar collagen trimer	0.00154685840869962	209	2.33318759236787	3.89800131357598e-27	3.28545825001404e-25	261138	9	11	1.36383499966894	0.118736033775632	0.657786478193642
GO:0098643	fibrillar collagen	0.00154685840869962	209	2.33318759236787	3.89800131357598e-27	3.28545825001404e-25	261138	9	11	1.36383499966894	0.118736033775632	0.657786478193642
GO:0070187	shelterin complex	0.000774430134372438	134	2.98797176459657	5.01679616606833e-27	3.94654631730708e-25	329914	5	8	1.04181840252488	0.593894687108352	0.999999996545253
GO:0030894	replisome	0.00178342387588939	224	2.16893919211039	5.57953400466797e-25	4.11490632844263e-23	346419	13	22	0.984991944205346	0.62408279563518	0.999999996545253
GO:0043226	organelle	0.759457591941475	45017	1.02359217287568	1.33582404945191e-24	9.2721904609015e-23	214577	7997	13289	1.00310593904631	0.235364689033479	0.84161396445033
GO:0034363	intermediate-density lipoprotein particle	0.000826413529525035	133	2.7791254863998	4.36512140630029e-24	2.86157958857463e-22	258526	3	6	0.833454722019908	0.820712733910977	0.999999996545253
GO:0005901	caveola	0.0130236058996598	1041	1.38029977859765	1.52631571999948e-23	9.47922394525994e-22	249031	82	105	1.3017768991549	6.36560914523181e-05	0.00341428126880615
GO:0140445	chromosome, telomeric repeat region	0.000963349821647301	144	2.58126388646113	5.11565881777949e-23	3.0182387024899e-21	309258	7	12	0.972363842356559	0.665015611545128	0.999999996545253
GO:0005886	plasma membrane	0.468204234430306	28273	1.04277471193605	2.52104150972453e-22	1.41658522927379e-20	223810	4010	6581	1.0156977466342	0.030325878144029	0.316677311592516
GO:0043025	neuronal cell body	0.100577108678259	6530	1.12116096633165	4.90788801860349e-22	2.63241266452369e-20	265464	548	815	1.1208176384464	7.79014453259496e-06	0.000766030879038504
GO:0043227	membrane-bounded organelle	0.714202925448016	42393	1.02500612590612	5.39839790870822e-22	2.76961284011987e-20	213455	7393	12275	1.00394798531864	0.203786226365589	0.84161396445033
GO:0043679	axon terminus	0.0304668666610466	2174	1.2322127053186	5.94507170507965e-22	2.83163469113622e-20	287672	146	215	1.13194780851076	0.00974051855778651	0.176574536130037
GO:0032473	cytoplasmic side of mitochondrial outer membrane	0.000580270484001752	103	3.06521314245436	5.99922604054283e-22	2.83163469113622e-20	546101	4	6	1.11127296269321	0.544138772471789	0.999999996545253
