id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0003674	molecular_function	0.916761461223822	55147	1.03877019049619	1.66068644084702e-245	3.43429955967165e-242	211219	11823	19655	1.00268991894595	0.0171018514429283	0.321514807127052
GO:0005488	binding	0.801847188406263	48284	1.03983771461955	1.0522120931056e-86	1.08798730427119e-83	217129	8571	14215	1.0050707593996	0.0943845497497482	0.578582399773981
GO:0005515	protein binding	0.653076678911012	39479	1.04389280090031	1.70198063547898e-48	1.17323198472351e-45	226719	5845	9618	1.01300537538082	0.0167865115611365	0.321514807127052
GO:0004984	olfactory receptor activity	0.0151434136502372	1251	1.42655151328987	2.99753306960859e-33	1.54972459698764e-30	53008	589	1103	0.890126620616003	0.99999781809485	0.999999748121882
GO:0019842	vitamin binding	0.0114369709095704	989	1.4932729899844	6.81768499165362e-33	2.81979451254794e-30	280372	101	144	1.16915176283348	0.00725663799382764	0.208426769044938
GO:0043047	single-stranded telomeric DNA binding	0.000909751340918567	151	2.86621112606077	2.01456262956544e-28	6.94352586323555e-26	296714	8	13	1.02579042710142	0.574152762554835	0.978293552376569
GO:0004867	serine-type endopeptidase inhibitor activity	0.00557148849395245	538	1.66749665849843	3.26306067041696e-28	9.24866024478488e-26	146073	100	130	1.28223803387678	3.26772049509837e-05	0.0168941149596586
GO:0051540	metal cluster binding	0.00533581933126974	520	1.68289167529038	3.57781827651252e-28	9.24866024478488e-26	347132	41	79	0.865104901337119	0.942637780493419	0.999999748121882
GO:0031406	carboxylic acid binding	0.0162928949080548	1293	1.37042162543731	9.38400383390424e-28	2.15623554761266e-25	246933	132	202	1.08926755749136	0.0673581472639885	0.52661753723568
GO:0098505	G-rich strand telomeric DNA binding	0.000841245801622627	142	2.91487119937992	1.61815428529293e-27	3.34634306198578e-25	313266	7	11	1.06076055529806	0.532533032368352	0.94960251600984
GO:0004930	G protein-coupled receptor activity	0.0711450933694531	4777	1.15948256401461	1.669522619188e-25	3.13870252407344e-23	149913	1087	1854	0.977308827222912	0.899410817613028	0.999999748121882
GO:0031545	peptidyl-proline 4-dioxygenase activity	0.000797352187309527	133	2.88041713406258	1.96661139032731e-25	3.38912696266406e-23	323027	7	8	1.45854576353484	0.106238727889382	0.606910743854258
GO:0048407	platelet-derived growth factor binding	0.00138302769343348	189	2.35985251983395	3.00921441838237e-25	4.7869657055498e-23	223016	9	12	1.25018208302986	0.225078967614464	0.757962192054589
GO:0140522	fusogenic activity	0.000397333336586671	88	3.82456109160372	5.01041224561442e-25	6.90768834928709e-23	142290	5	5	1.66690944403982	0.0776782304941433	0.52661753723568
GO:0140523	GTPase-dependent fusogenic activity	0.000397333336586671	88	3.82456109160372	5.01041224561442e-25	6.90768834928709e-23	142290	5	5	1.66690944403982	0.0776782304941433	0.52661753723568
GO:0098847	sequence-specific single stranded DNA binding	0.000991114109637259	151	2.63091745938704	7.93444290805385e-25	1.02552674586596e-22	296714	8	15	0.889018370154568	0.786770681023423	0.999999748121882
GO:0004620	phospholipase activity	0.00674168787011016	606	1.55223659247887	2.45500771872769e-24	2.98644468372286e-22	176602	65	98	1.10560320267947	0.118393750032971	0.642790884418867
GO:0016298	lipase activity	0.00781651750058346	681	1.50448458374825	6.73805735807803e-24	7.74127923139187e-22	161397	87	130	1.1155470894728	0.062013511736057	0.525589927336745
GO:0005186	pheromone activity	0.0010378110834326	153	2.545816289077	8.80633524874499e-24	9.5850006812656e-22	131234	15	17	1.47080245062337	0.0122692393031193	0.272825665363985
GO:0043177	organic acid binding	0.016856917087259	1296	1.32764139646495	4.40426246429637e-23	4.55400738808245e-21	246422	133	206	1.07620852454998	0.100626871414674	0.596264670732223
GO:0071532	ankyrin repeat binding	0.000573536302351393	104	3.1313121407076	8.40557970945103e-23	8.27749468530701e-21	173343	6	7	1.4287795234627	0.158471873989561	0.707566790330808
GO:0051536	iron-sulfur cluster binding	0.00521220334034673	486	1.61015933285234	9.7954569127721e-23	9.20772949800578e-21	370988	35	72	0.810303201963799	0.981083809159517	0.999999748121882
GO:0038085	vascular endothelial growth factor binding	0.0012569796314102	170	2.33547173554899	1.92069116582492e-22	1.72695188301128e-20	297987	4	5	1.33352755523185	0.336783831361234	0.818412412755619
GO:0047429	nucleoside triphosphate diphosphatase activity	0.00087780014375848	133	2.61643486679647	7.06192995241734e-22	6.08502964233294e-20	247427	8	9	1.48169728359095	0.0704304110929719	0.52661753723568
GO:0043426	MRF binding	0.00105050665321397	147	2.41642022516227	6.49999703491129e-21	5.37679754727862e-19	303523	6	8	1.25018208302986	0.315171312290101	0.818412412755619
GO:0050436	microfibril binding	0.000403115690441926	80	3.42700090487792	3.94483322431942e-20	3.13765965688176e-18	160211	3	6	0.833454722019908	0.820712733910977	0.999999748121882
GO:0043168	anion binding	0.19091787560663	11922	1.07834184642519	6.1946411911154e-20	4.74463629008395e-18	209726	1588	2511	1.05418247595987	0.00020009309324578	0.0550712133555338
