id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0008150	biological_process	0.896673118210487	18454	1.07802216057352	8.99927744550693e-292	7.81587246142277e-288	112560	10610	15904	1.02508914339075	3.06923160529055e-33	4.93634749850896e-31
GO:0009987	cellular process	0.88647444336174	18276	1.07990674098418	2.27289651335038e-266	9.870053109224e-263	112571	10374	15467	1.03060625804896	4.86538924574366e-40	1.08348475895599e-37
GO:0008152	metabolic process	0.671378422447113	14567	1.13651209861258	1.37695392764462e-169	3.98628162053117e-166	109738	7065	10048	1.08040144636824	7.76299898031509e-61	1.12369410240061e-57
GO:0044238	primary metabolic process	0.612036075842195	13388	1.14580312952414	2.01483391830494e-146	4.3747081451196e-143	109106	6302	8904	1.08754156574027	1.55447643388202e-56	1.03850983294349e-53
GO:0043170	macromolecule metabolic process	0.584986276325406	12709	1.13798627544035	2.3118407731216e-116	4.01566742291222e-113	111469	5770	8146	1.0883887009708	3.41259711436766e-49	1.18553623753133e-46
GO:0006950	response to stress	0.288583284666769	6908	1.25386990583932	4.12037066018188e-106	5.96423653061327e-103	107900	2678	3743	1.09936868641284	2.54880770706515e-21	1.94178902946147e-19
GO:0009058	biosynthetic process	0.528996940432505	11543	1.14297533298841	1.69671375657777e-98	2.105136996554e-95	109855	5115	7202	1.09130246994078	7.23664009433667e-43	1.79572054912326e-40
GO:0033554	cellular response to stress	0.151211577262498	3933	1.36241753725588	3.07374727856028e-91	3.336936889287e-88	110500	1450	1780	1.25170105147282	1.18822392353261e-57	9.38156797807335e-55
GO:0048518	positive regulation of biological process	0.494075198069014	10815	1.14658113705733	1.48036598759982e-89	1.42855317803383e-86	115144	4311	5792	1.14367357527158	2.43528574797199e-75	5.28761418028418e-72
GO:0050789	regulation of biological process	0.745064865776965	15366	1.0802843060859	4.39542042070085e-85	3.81742263537868e-82	115990	7268	10809	1.03319434130217	8.78054687771993e-14	3.37429423154857e-12
