id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0005622	intracellular anatomical structure	0.817054376036289	17686	1.13383532299381	0	0	109660	9756	13934	1.07584226701942	1.72206882027268e-136	9.80718193145293e-134
GO:0110165	cellular anatomical structure	0.912013605730669	18719	1.07510937593679	0	0	111522	11111	16806	1.01587764967306	1.18983739670953e-23	4.67318894776607e-22
GO:0005575	cellular_component	0.914329582631227	18749	1.07410480667728	0	0	111803	11141	16862	1.01523762950918	7.7709185158679e-23	2.95035872985784e-21
GO:0043229	intracellular organelle	0.762971027264928	16657	1.1435629110974	1.8825921835043e-317	5.36068124376365e-315	108885	8808	12456	1.08655402150706	8.05102590458e-120	3.05670616843887e-117
GO:0005737	cytoplasm	0.73010928596133	16038	1.15062461202705	7.45002528439899e-286	1.69711575978609e-283	108453	8244	11423	1.10894606306385	3.899940742648e-148	4.44203250587607e-145
GO:0043226	organelle	0.800031858043711	17099	1.11952746721317	3.4878536122363e-278	6.62110877389524e-276	109765	9244	13194	1.07655463273642	1.94030012520233e-113	5.52500460651363e-111
GO:0043231	intracellular membrane-bounded organelle	0.727773632620472	15922	1.1459683546813	7.76582911894796e-264	1.26361133806882e-261	108340	8148	11444	1.09402132712055	1.84628932747949e-111	4.20584708799828e-109
GO:0043227	membrane-bounded organelle	0.767368589636682	16538	1.12888653128383	2.32319531746744e-259	3.30764933324426e-257	108857	8761	12447	1.08153756386538	2.06425476922483e-106	2.61242909127454e-104
GO:0005829	cytosol	0.388279890623583	9465	1.27687105457964	3.11668184057428e-199	3.94433401823789e-197	103601	3968	5233	1.16512774957262	1.77909275301128e-86	1.68865553806654e-84
GO:0031974	membrane-enclosed lumen	0.406892413272879	9644	1.24150631164926	2.40217601439235e-165	2.2800654003274e-163	104836	4184	5449	1.1798518696711	1.98500615936672e-108	2.82615251939836e-106
GO:0043233	organelle lumen	0.406892413272879	9644	1.24150631164926	2.40217601439235e-165	2.2800654003274e-163	104836	4184	5449	1.1798518696711	1.98500615936672e-108	2.82615251939836e-106
GO:0070013	intracellular organelle lumen	0.406892413272879	9644	1.24150631164926	2.40217601439235e-165	2.2800654003274e-163	104836	4184	5449	1.1798518696711	1.98500615936672e-108	2.82615251939836e-106
GO:0031981	nuclear lumen	0.342802871077865	8286	1.26611105464489	2.62033709369443e-150	2.29581842285996e-148	108859	3411	4363	1.20129348994307	1.00965328293048e-101	1.14999508925782e-99
GO:0005654	nucleoplasm	0.319379322102587	7796	1.27860488118732	2.62928916185415e-147	2.13911453953705e-145	108614	3160	4013	1.20995868158216	7.51485194868209e-100	7.78128760868082e-98
GO:0005634	nucleus	0.522790735245333	11719	1.17417814906697	8.69061526112398e-142	6.59907385494681e-140	110896	5191	7234	1.10261816151582	4.31191239175036e-54	3.06954263387729e-52
GO:0043232	intracellular membraneless organelle	0.424563997129849	9783	1.20698038555933	8.02035585450147e-132	5.70949082392323e-130	112503	4084	5481	1.14492898070484	5.05823297819816e-71	4.11523383011979e-69
GO:0043228	membraneless organelle	0.424578360866591	9783	1.20693955269994	8.85291396419593e-132	5.93145235601127e-130	112503	4084	5482	1.14472012828224	7.74113148048144e-71	5.87809917084558e-69
GO:0005925	focal adhesion	0.0353348441266137	1147	1.70032351260012	3.54309986325016e-64	2.24199485791218e-62	84859	338	392	1.32490045849421	1.16301669225054e-21	3.67965559020379e-20
GO:0030055	cell-substrate junction	0.036734725004478	1167	1.66404622149943	1.07022515541933e-60	6.4157181685401e-59	85536	343	402	1.31105431457577	2.66642647798173e-20	7.7873327139005e-19
GO:0032991	protein-containing complex	0.403994103197926	8800	1.14098246064167	1.99637080958397e-57	1.13693317605807e-55	103560	3942	5250	1.15374527027027	2.49880230199938e-75	2.18933524767484e-73
GO:0140513	nuclear protein-containing complex	0.0931562471362032	2445	1.37479581506902	1.99408429056995e-56	1.08155333664723e-54	100103	984	1214	1.24545783427579	7.55869912557567e-37	4.53124121264773e-35
GO:0005856	cytoskeleton	0.196748370595231	4640	1.23531626182324	1.52128214624623e-55	7.87609256624755e-54	110645	1740	2360	1.1328955279432	3.64125738020309e-22	1.21982122236804e-20
GO:0090575	RNA polymerase II transcription regulator complex	0.0225762382857844	773	1.79349114175051	3.60497691577279e-51	1.7852472639414e-49	139568	199	239	1.27940426043198	2.61839549568449e-10	3.97646995944617e-09
