id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0005515	protein binding	0.820898137654966	17576	1.12150727697128	0	0	109351	9613	13672	1.08038739784804	6.22110396342462e-142	1.17578864908725e-138
GO:0005488	binding	0.871615692138388	18307	1.10017928490405	0	0	110568	10424	15282	1.04810990318941	3.25903571265791e-88	3.07978874846173e-85
GO:0003674	molecular_function	0.901112771001253	18656	1.08445294048087	0	0	111764	10994	16534	1.0217165223013	2.65521086711756e-35	1.25458713471305e-32
GO:0019899	enzyme binding	0.17224239682091	4286	1.30341714341671	2.95765016128503e-76	1.39748970120718e-73	106346	1554	1980	1.20597537878788	5.20321163540856e-43	3.27802333030739e-40
GO:0044877	protein-containing complex binding	0.0987253009804939	2521	1.33756748090952	1.51615864113143e-49	5.73107966347681e-47	100682	916	1184	1.18876603588386	1.83950053978835e-21	1.39066240807999e-19
GO:0003723	RNA binding	0.114032957102409	2847	1.30776106386483	7.27083803141331e-49	2.29031397989519e-46	85198	1235	1572	1.2071661057527	3.52666181347092e-34	1.33307816549201e-31
GO:0003676	nucleic acid binding	0.288775084600702	6416	1.1637935820734	4.50783680408061e-46	1.21711593710176e-43	112398	2601	3731	1.07119298590335	1.08330178281797e-11	4.26550076984576e-10
GO:0003824	catalytic activity	0.394526724189543	8475	1.12521264156439	4.79948053375091e-44	1.13387727609865e-41	107911	3676	5165	1.09359821825698	3.78505712978857e-28	4.20809292664729e-26
GO:0060090	molecular adaptor activity	0.120908324313853	2864	1.24076099885907	3.56326410637568e-33	7.48285462338893e-31	104806	1037	1301	1.22476869403993	3.96261147100639e-33	1.24822261336701e-30
GO:0008134	transcription factor binding	0.064574403070941	1646	1.33518287361309	2.0097105107076e-31	3.79835286523737e-29	130366	486	569	1.3124314230751	1.57189674888663e-28	2.47573737949644e-26
GO:0019900	kinase binding	0.0711751514715287	1785	1.31365445427154	8.83931986230446e-31	1.51875586725049e-28	117599	572	725	1.21230149114632	8.78515792077942e-17	5.18873389696035e-15
GO:0030234	enzyme regulator activity	0.114286061625428	2693	1.23428203785755	1.02790115675598e-29	1.61894432189066e-27	104541	943	1298	1.11632234362637	9.1916408202095e-10	3.21707428707333e-08
GO:0030674	protein-macromolecule adaptor activity	0.110595014958957	2614	1.23805903511643	1.53752901615862e-29	2.23533064656907e-27	102252	941	1178	1.22743061132015	1.09534253499384e-30	2.95742484448336e-28
GO:0044389	ubiquitin-like protein ligase binding	0.0258319622201535	745	1.51067206449322	5.99524703989165e-27	8.09358350385373e-25	108053	249	296	1.29258839709642	1.40953448964496e-13	6.34290520340233e-12
GO:0016773	phosphotransferase activity, alcohol group as acceptor	0.0637216476006812	1586	1.30372954883042	5.37287857256107e-26	6.45289146576269e-24	103880	523	642	1.25175483602762	9.35680256319784e-21	6.54976179423848e-19
GO:0008092	cytoskeletal protein binding	0.088750351986184	2121	1.25182006007362	5.46276526202132e-26	6.45289146576269e-24	104037	753	954	1.21282801079381	6.78296852416952e-22	5.3415877127835e-20
GO:0005085	guanyl-nucleotide exchange factor activity	0.0207117754894517	618	1.56294058126446	7.57964164825663e-26	8.42677806776767e-24	111620	180	215	1.28643148962916	7.61044287109665e-10	2.71391264648541e-08
GO:0001221	transcription coregulator binding	0.0163530707087692	512	1.63999290332206	9.15358842699322e-26	9.61126784834288e-24	139425	111	124	1.37547883064516	3.50609524865447e-10	1.29931765097195e-08
GO:1901265	nucleoside phosphate binding	0.170205934778832	3802	1.17006162488403	1.09053034774359e-25	1.08479071433441e-23	102650	1536	2017	1.17014029398759	4.10097660721133e-30	9.68855723453676e-28
GO:0019901	protein kinase binding	0.0646298094595686	1598	1.29513554213586	4.71790057269794e-25	4.45841604119956e-23	116465	512	649	1.21221005288802	3.94256342922371e-15	2.01390402195482e-13
GO:0071889	14-3-3 protein binding	0.00373680699366979	174	2.43904550825652	6.24064714700518e-25	5.61658243230466e-23	154450	31	31	1.53657094594595	1.62519073745508e-06	3.70073553468688e-05
GO:0000166	nucleotide binding	0.169397681498246	3775	1.16729551363222	8.3767834472397e-25	7.19641850694683e-23	103130	1522	1998	1.17050099085572	6.12948931808777e-30	1.28719275679843e-27
GO:0032555	purine ribonucleotide binding	0.151617098883196	3412	1.17877838171662	1.00769999025482e-24	8.28066513731134e-23	106392	1342	1749	1.17900412204657	1.17906001250318e-28	2.02583947602819e-26
GO:0016740	transferase activity	0.180728005095885	4001	1.15961658730142	1.63696464806722e-24	1.28910966035293e-22	100902	1552	2088	1.14212553070312	3.87268219472779e-22	3.18233449914588e-20
GO:0035639	purine ribonucleoside triphosphate binding	0.146329475357302	3301	1.18163958431859	1.79920620601e-24	1.36019989174356e-22	103893	1308	1703	1.18017310469601	3.10251886033823e-28	3.90917376402617e-26
GO:0016301	kinase activity	0.067698285357997	1658	1.28285679659741	2.50026788417451e-24	1.77432362251108e-22	103456	553	686	1.23866433397683	6.37570596496532e-20	4.01669475792815e-18
GO:0032553	ribonucleotide binding	0.152825447045188	3432	1.17631308134127	2.53474803215868e-24	1.77432362251108e-22	106004	1353	1766	1.17722564545009	2.18383669377586e-28	2.94817953659741e-26
GO:0017076	purine nucleotide binding	0.158448848618014	3545	1.17192137130628	3.47549030593093e-24	2.34595595650337e-22	105995	1408	1844	1.17326024506068	2.06919922378086e-28	2.94817953659741e-26
GO:0003779	actin binding	0.041363105232073	1082	1.37020468538004	3.81736812584146e-24	2.48787095097943e-22	96772	328	422	1.19430158831818	7.90279009874471e-09	2.48937888110458e-07
GO:0140096	catalytic activity, acting on a protein	0.186913332893301	4119	1.15431099594288	5.82055880200243e-24	3.66695204526153e-22	109881	1550	2145	1.11034264159264	2.7019888585498e-14	1.24555096162418e-12
GO:0031625	ubiquitin protein ligase binding	0.0252182157754485	714	1.48304789833787	6.53606207768908e-24	3.9848894602685e-22	110918	231	277	1.28140031954337	6.92858292494283e-12	2.78617483577488e-10
GO:0051015	actin filament binding	0.0162841424053962	500	1.60833471131019	1.5812521517943e-23	9.33927052153507e-22	72381	157	198	1.21839211370461	8.21342529355248e-06	0.000170586525327628
GO:0003712	transcription coregulator activity	0.0525772757760792	1321	1.31606112287687	4.44356319331183e-23	2.54494982889678e-21	111605	414	497	1.27996050628093	4.44738397904581e-20	2.89846748979192e-18
GO:0016772	transferase activity, transferring phosphorus-containing groups	0.0783293891544576	1870	1.25051293737963	1.09531795768063e-22	6.08867923534233e-21	97470	676	839	1.23804762748446	4.84335868025405e-24	4.57697395284008e-22
GO:0140297	DNA-binding transcription factor binding	0.0545025529780462	1358	1.30513142445713	1.81916950795968e-22	9.82351534298226e-21	121777	399	468	1.31002522955648	2.79451876231905e-23	2.51506688608715e-21
GO:1901363	heterocyclic compound binding	0.18021419548311	3942	1.14577395233242	9.41822182553103e-21	4.94456645840379e-19	103145	1606	2136	1.15530568314101	7.9660764418977e-27	7.92414972378245e-25
GO:0004672	protein kinase activity	0.0555628044648345	1364	1.28588323628806	2.03504414486458e-20	1.03952254967407e-18	104016	436	538	1.24525080377776	1.0258447423323e-16	5.8752926151759e-15
GO:0032559	adenyl ribonucleotide binding	0.127988410176007	2870	1.17457992686207	9.38238307964542e-20	4.66650105803417e-18	104169	1109	1420	1.20004026693947	9.19179246407676e-29	1.73724877571051e-26
GO:0060589	nucleoside-triphosphatase regulator activity	0.048367867598841	1202	1.30172381108335	1.2527928835419e-19	6.07122705101076e-18	119547	363	453	1.23129195006265	8.44382193234137e-13	3.54640521158338e-11
GO:0030695	GTPase regulator activity	0.0482993014865736	1198	1.29923374047938	2.54040561955302e-19	1.2003416552388e-17	119777	362	452	1.23061655405405	1.04819151285553e-12	4.30669991151513e-11
GO:0043168	anion binding	0.198228164311044	4281	1.13123072144759	3.68778158716862e-19	1.69997736579236e-17	106519	1701	2314	1.12951909207176	1.078679583053e-20	7.28108718560773e-19
GO:0030554	adenyl nucleotide binding	0.134769850068469	2998	1.16522610481069	6.43034740586815e-19	2.89365633264067e-17	103910	1174	1514	1.19150217340855	3.44368958021023e-28	4.06785831662333e-26
GO:0005524	ATP binding	0.123295818299136	2757	1.17127733951296	2.27147468263624e-18	9.98392360507557e-17	101299	1078	1381	1.19943771160734	8.39956800310299e-28	8.81954640325813e-26
