id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0006950	response to stress	0.288583284666769	22465	1.27080679054706	0	0	148072	3312	3743	1.02476971166089	7.79812871629746e-06	0.000266486052478088
GO:0048518	positive regulation of biological process	0.494075198069014	35042	1.15781749606513	0	0	160943	5243	5792	1.04835189446948	6.47917852366688e-31	5.75675011827802e-27
GO:0044238	primary metabolic process	0.612036075842195	43313	1.15527538374421	0	0	149093	7895	8904	1.02688725287071	2.05457487495119e-19	1.01416098688563e-16
GO:0009058	biosynthetic process	0.528996940432505	37390	1.15384263180696	0	0	152298	6367	7202	1.02385277718935	2.32106176008542e-11	2.39798066725104e-09
GO:0051716	cellular response to stimulus	0.542248318846326	38146	1.14840497796869	0	0	158894	5975	6871	1.00710265501472	0.0315912796598081	0.206085550497353
GO:0008152	metabolic process	0.671378422447113	46909	1.14059922376337	0	0	149005	8884	10048	1.02396403558672	1.34403566430682e-19	7.02456286903887e-17
GO:0043170	macromolecule metabolic process	0.584986276325406	40844	1.13979531083117	0	0	154167	7191	8146	1.02235249881464	4.00050537026443e-12	4.67690660721045e-10
GO:0050896	response to stimulus	0.605487589848044	42218	1.13824744855903	0	0	156842	7081	8153	1.00584933210907	0.038574873802113	0.238793714619817
GO:0050794	regulation of cellular process	0.729781863159405	49112	1.09859806720641	0	0	158202	9109	10424	1.0120269532299	1.3665672100254e-06	5.59536850740816e-05
GO:0050789	regulation of biological process	0.745064865776965	50107	1.09786412369316	0	0	157478	9444	10809	1.01187354445559	6.78517008389773e-07	3.02945910529806e-05
GO:0065007	biological regulation	0.757034438974979	50875	1.09706677249234	0	0	156972	9756	11165	1.01197281034712	1.99243047699235e-07	9.89019614566798e-06
GO:0009987	cellular process	0.88647444336174	58342	1.07438359768052	0	0	152418	13487	15467	1.00986902545362	8.59266019611119e-15	1.62437842217974e-12
GO:0008150	biological_process	0.896673118210487	58934	1.07294150322375	0	0	152532	13841	15904	1.00789869156373	5.8858315009604e-12	6.70456575461963e-10
GO:0048522	positive regulation of cellular process	0.475020137119133	33628	1.15566854871799	6.47719072839779e-294	4.1107028301296e-291	162333	4940	5452	1.04936574110378	9.71023354327625e-30	2.15688562580024e-26
GO:0009059	macromolecule biosynthetic process	0.478558690437166	33661	1.1482490181449	1.00553245333983e-270	5.95610389861625e-268	157109	5498	6238	1.02074002582763	1.64403958209486e-07	8.3949952223637e-06
GO:0010467	gene expression	0.448592427037469	31799	1.15719300866513	2.64888377464377e-268	1.47095827110687e-265	156959	5175	5871	1.02083147854569	4.70769177357922e-07	2.17378288094981e-05
GO:0019222	regulation of metabolic process	0.466295574283431	32866	1.15061447584906	1.91422240710678e-265	1.00046271100845e-262	157968	5221	5846	1.03430985334168	2.11727936239481e-16	5.37486489567941e-14
GO:0019538	protein metabolic process	0.310757241648711	22949	1.20555432154836	1.10675600444977e-247	5.46307061085346e-245	148253	3427	3875	1.02423161573702	7.88845083586952e-06	0.000268539791864754
GO:0035556	intracellular signal transduction	0.282986935093158	21152	1.22019524547285	3.10891505416759e-247	1.45382685559363e-244	162828	2667	2928	1.05489133043708	9.12790183961473e-18	3.52614816717291e-15
GO:0002376	immune system process	0.191352150329769	15071	1.2857395374458	2.31955530728767e-243	1.03046244526255e-240	150266	2157	2457	1.01671859944188	0.0128026835523685	0.110819199838914
GO:0051179	localization	0.412799878878937	29351	1.16072040002816	4.41559191687035e-241	1.86821591339967e-238	150338	4563	5030	1.05060209751738	3.58770456475102e-28	6.37535101156256e-25
GO:0009056	catabolic process	0.194234023940872	15200	1.27750484697042	2.08002348431495e-234	8.40045848097197e-232	141612	2262	2552	1.02652069745774	0.000119723801570518	0.00275581859314522
GO:0048583	regulation of response to stimulus	0.354551217676234	25603	1.17884349432565	7.00348712497474e-231	2.70547752632176e-228	161659	3448	3810	1.04808875464505	2.0656909060337e-18	8.34257440914064e-16
GO:0060255	regulation of macromolecule metabolic process	0.435816003368592	30659	1.14841561212074	4.9865010362496e-227	1.8460442377949e-224	160463	4770	5334	1.03566940662432	1.07604777326063e-15	2.39017111635516e-13
GO:0009893	positive regulation of metabolic process	0.300432667265376	22073	1.19938464887244	4.31467320047742e-222	1.53343485544968e-219	166809	2970	3265	1.05348666701046	5.31768224831146e-19	2.48671614611828e-16
GO:0080090	regulation of primary metabolic process	0.402941887996497	28533	1.15597727241039	6.1141151047737e-218	2.08938125791978e-215	159277	4352	4844	1.04049628043568	1.25429482710169e-17	4.64350397449936e-15
GO:0007165	signal transduction	0.472118233046348	32813	1.13459128044448	1.23152856476759e-217	4.05264122146666e-215	160022	4877	5621	1.00483545416256	0.141480927576145	0.492963937848645
GO:0009889	regulation of biosynthetic process	0.403924909718923	28577	1.15494226441223	5.23859546225651e-216	1.66231859579104e-213	160922	4356	4868	1.03631809492415	1.5684165497209e-14	2.90320438422296e-12
GO:0006139	nucleobase-containing compound metabolic process	0.401698740553924	28435	1.15557207578553	1.10862365894855e-215	3.39659352060616e-213	156124	4646	5231	1.0286088704768	2.15994231775314e-10	1.81047995219213e-08
GO:0042221	response to chemical	0.30719612865855	22408	1.19078027932484	1.5480099314235e-210	4.58468941356593e-208	160647	3107	3658	0.983678845859813	0.997272045068471	1
GO:0010556	regulation of macromolecule biosynthetic process	0.393028178573884	27802	1.1547730145063	9.74013083423273e-206	2.79164717619864e-203	162391	4198	4692	1.03619194192414	7.80686531106816e-14	1.19007561044402e-11
GO:0023052	signaling	0.513209441006934	35195	1.11951678305862	8.11479075412551e-204	2.25312237032516e-201	162005	5307	6085	1.01005328370293	0.0081159247655087	0.0793289235880581
GO:0010468	regulation of gene expression	0.385407254587699	27292	1.15600510923651	3.15223644434708e-202	8.48715782061327e-200	162248	4107	4590	1.03625776323218	1.5611813400455e-13	2.16735878223504e-11
GO:0009966	regulation of signal transduction	0.292728575146559	21398	1.19330741842006	2.15394868134989e-201	5.6287747158217e-199	164050	2700	2944	1.06213993570565	1.06255902825403e-22	1.18010462075463e-19
GO:0051234	establishment of localization	0.366048850076718	26058	1.16210751329967	2.07633967502268e-200	5.27093657502185e-198	151255	3971	4370	1.05238398370361	2.16290618576786e-25	3.2029035767579e-22
GO:0006996	organelle organization	0.278491137574941	20448	1.19862610897863	8.50803840736517e-198	2.09983114581776e-195	147543	3027	3399	1.03137603558363	1.05592056665197e-07	5.65171941849564e-06
GO:0044281	small molecule metabolic process	0.125222059528557	10230	1.33364139614534	3.40497646130684e-197	8.17654482667873e-195	135442	1459	1633	1.03472486840324	8.32681861144881e-05	0.00206082962013155
GO:0007154	cell communication	0.515482856367719	35263	1.11673288943758	2.4141394374556e-196	5.64463918468238e-194	162170	5327	6106	1.01037287088666	0.00642825122293007	0.0675917303144777
GO:0033554	cellular response to stress	0.151211577262498	11964	1.29162260478424	4.69859184738317e-190	1.07043560420512e-187	153778	1585	1780	1.03125257045092	0.000199882728688103	0.00418091773610531
GO:0070887	cellular response to chemical stimulus	0.200377768863391	15255	1.24281633144796	1.57565933794718e-188	3.49993330441518e-186	165042	1895	2120	1.03521160805547	4.78338697136535e-06	0.000170684310203137
GO:0006810	transport	0.347719166002026	24774	1.16308587122389	6.14504699614885e-187	1.33167664782396e-184	151559	3748	4131	1.05075185904668	2.30226018567471e-22	2.27284241663553e-19
GO:0048523	negative regulation of cellular process	0.436241697399929	30299	1.13382335033887	1.86732473558788e-185	3.9502810180234e-183	164950	4398	4899	1.03968927832704	3.24393293471379e-17	1.02936943303329e-14
GO:0010604	positive regulation of macromolecule metabolic process	0.279061709750558	20370	1.19161251125672	5.54247365246681e-185	1.14522973028297e-182	169159	2690	2958	1.05319767125308	6.33817993138188e-17	1.87715762301093e-14
GO:0048519	negative regulation of biological process	0.448799077147139	31065	1.12996158429803	2.01741989164552e-184	4.07381266756147e-182	162997	4590	5109	1.04047718735949	8.74535343419311e-19	3.70011739346694e-16
GO:0090304	nucleic acid metabolic process	0.370804426782616	26144	1.15098960332419	4.86292848752797e-178	9.60158213593022e-176	159904	4164	4693	1.02758071817501	1.16997388807352e-08	7.16911585898842e-07
GO:1902531	regulation of intracellular signal transduction	0.195522206307218	14815	1.23694344288733	2.13278064608362e-174	4.11951218270717e-172	161644	1764	1926	1.06071345493357	4.5965963126168e-14	7.70580344105665e-12
GO:0006629	lipid metabolic process	0.107225156914046	8808	1.34098800036052	2.22029588456917e-172	4.19730402859512e-170	146043	1168	1297	1.04293837225448	1.71463535623811e-05	0.000528976914589432
GO:0071840	cellular component organization or biogenesis	0.530580116561424	35944	1.10590981107887	2.60104746444128e-172	4.8146472336585e-170	158792	5727	6402	1.03601798120371	3.25115053830497e-20	2.22203634867998e-17
GO:0044419	biological process involved in interspecies interaction between organisms	0.117438902861487	9517	1.3229162774243	2.98829550018942e-172	5.41857255493531e-170	133506	1406	1620	1.00513891148347	0.308036767122395	0.648727704376346
GO:0006796	phosphate-containing compound metabolic process	0.153501011069577	11962	1.27214563999801	1.60643846797789e-169	2.85464115759671e-167	148622	1592	1747	1.0553729002909	7.9973033797038e-11	7.32536500295549e-09
GO:0006793	phosphorus metabolic process	0.153894425499435	11983	1.27112115527426	8.18393154124818e-169	1.42576924988216e-166	148625	1594	1749	1.05549039945018	7.08113909401858e-11	6.62272851056369e-09
GO:0034654	nucleobase-containing compound biosynthetic process	0.353299658821799	24901	1.15058271760928	5.55465544371722e-164	9.49098338796683e-162	157567	3899	4373	1.03259385842648	1.24559677053917e-10	1.09575517883569e-08
GO:0016043	cellular component organization	0.523681089828734	35439	1.10473685590794	7.92642123801114e-164	1.3287972207496e-161	159019	5566	6213	1.03752274961182	5.98106930307393e-21	4.83107279616472e-18
GO:0006952	defense response	0.128133083055966	10183	1.29735474306232	1.21223446597109e-162	1.99457467225058e-160	141647	1511	1743	1.00397490400842	0.34600243281182	0.681161170900807
GO:0009891	positive regulation of biosynthetic process	0.245772649661725	17982	1.19439703843256	6.94431424387407e-160	1.12182240103311e-157	169302	2324	2548	1.0563126478207	3.86596647389209e-16	9.28354381635978e-14
GO:0012501	programmed cell death	0.175418785584912	13270	1.23492078104261	4.31984357022306e-150	6.8538946645414e-148	157445	1678	1850	1.05045150567845	1.1136676448818e-09	8.31507313006288e-08
GO:0009057	macromolecule catabolic process	0.112908683912433	9040	1.30702941447952	1.00480088292652e-149	1.5662554113688e-147	140469	1276	1434	1.03052208343288	0.00110729211647993	0.0174320715647014
GO:0008219	cell death	0.175676460728209	13281	1.2341316196812	2.16358131821547e-149	3.31438276074904e-147	157671	1682	1854	1.05068381292635	8.89701305294757e-10	6.81465180822751e-08
GO:1901700	response to oxygen-containing compound	0.156078938262018	11969	1.25186599036182	4.25644395165302e-149	6.40991601871815e-147	158144	1455	1598	1.05448886510774	1.0878461120022e-09	8.1911124619827e-08
GO:0016070	RNA metabolic process	0.343353586738845	24116	1.14658950658376	7.5259831454592e-149	1.11447267079008e-146	161082	3720	4181	1.03043013731154	5.11617853887085e-09	3.34244458219614e-07
GO:0010557	positive regulation of macromolecule biosynthetic process	0.238089906393829	17361	1.19035918931177	3.41052511979736e-147	4.96762552285238e-145	171415	2213	2428	1.05557357910758	5.44006937121694e-15	1.07411147473917e-12
GO:0023051	regulation of signaling	0.341398509106284	23963	1.14583964321188	4.41352862271825e-146	6.32487126013737e-144	168611	3096	3363	1.06617836250054	9.15125274021546e-30	2.15688562580024e-26
GO:0002682	regulation of immune system process	0.128045375620333	10031	1.27886472418253	8.01841889913744e-144	1.1308516177593e-141	153734	1335	1495	1.03417932885117	0.000211574111392802	0.00436156839843397
GO:0141124	intracellular signaling cassette	0.196357640260174	14598	1.21363985849316	1.14910035370629e-143	1.59527447541881e-141	163397	1728	1876	1.06675990472236	2.04634608112576e-16	5.34758380317717e-14
GO:0006955	immune response	0.123058861576378	9671	1.28292942561075	2.72708153384998e-141	3.72771068127032e-139	137998	1467	1687	1.00709586095029	0.233052816948014	0.591959485015182
GO:0010646	regulation of cell communication	0.343214464165255	24017	1.14234543910478	1.78504963989897e-140	2.40305546219733e-138	169468	3101	3368	1.06631486421161	6.14404493495974e-30	2.15688562580024e-26
GO:0009607	response to biotic stimulus	0.108534365767613	8664	1.30315311659466	7.88092398004351e-140	1.04510462033861e-137	134891	1300	1510	0.997062046095818	0.63529653507754	0.834868600711631
GO:0141187	nucleic acid biosynthetic process	0.336211852137974	23556	1.14375446550453	9.27292167989628e-139	1.21161631067468e-136	160073	3643	4092	1.03104904903186	4.04917325137714e-09	2.74632857545694e-07
GO:0006915	apoptotic process	0.171101010441598	12870	1.22792049671313	1.99283329535068e-137	2.56613388828851e-135	158002	1620	1786	1.05048375276061	2.20629722163964e-09	1.55578974716414e-07
GO:0051707	response to other organism	0.105492838725632	8432	1.3048238762489	6.89596369095867e-137	8.75294819916682e-135	134937	1265	1469	0.997296992904606	0.624985154861434	0.828433999842434
GO:0043207	response to external biotic stimulus	0.105666247929609	8439	1.30376397474438	3.09163721963941e-136	3.86890094316847e-134	134844	1268	1472	0.997624769240563	0.61257070579915	0.820121978078811
GO:0009892	negative regulation of metabolic process	0.247576608842347	17863	1.17784749989028	6.29485240622645e-136	7.76802272629472e-134	165813	2377	2682	1.02642255784728	8.22408478176959e-05	0.0020410891979336
GO:0032774	RNA biosynthetic process	0.330170799286869	23094	1.14183874786047	1.57125250958511e-131	1.9124080202279e-129	160533	3558	3991	1.03247607262754	1.39131347207352e-09	1.02163803300605e-07
GO:0043412	macromolecule modification	0.185117558074288	13715	1.20946268916777	1.32270069336331e-128	1.58813454872067e-126	142106	1949	2160	1.04499417059812	3.67201557602132e-09	2.50968141484226e-07
GO:0010605	negative regulation of macromolecule metabolic process	0.230725893681729	16695	1.18122971271998	1.78732074524967e-128	2.11737930953911e-126	166081	2203	2470	1.03293578579854	3.24380985636461e-06	0.000122643619462977
GO:0048584	positive regulation of response to stimulus	0.213167639217469	15540	1.19007413151747	3.25423029476668e-127	3.80445212750025e-125	161597	2013	2217	1.05155952505959	6.15796364399066e-12	6.92576037681734e-10
GO:0019219	regulation of nucleobase-containing compound metabolic process	0.3230772987376	22591	1.14149309473582	9.90762367935188e-127	1.14323683624729e-124	163922	3337	3708	1.04225085723401	4.57666273182499e-14	7.70580344105665e-12
GO:0030097	hemopoiesis	0.0881658820885092	7132	1.32055062079989	1.36982939907133e-123	1.56037618086522e-121	169212	848	941	1.04366713707576	0.000199987623842966	0.00418091773610531
GO:0002684	positive regulation of immune system process	0.0878133932111572	7095	1.31897303460531	6.50807244808406e-122	7.31952198749707e-120	151547	932	1039	1.03885789495193	0.000480672958202444	0.00875159679022278
GO:0036211	protein modification process	0.176222833840378	13050	1.20890620571372	1.64765860229881e-120	1.82993083517811e-118	144102	1800	1991	1.0470249357835	3.62355270559003e-09	2.49575703791996e-07
GO:0019637	organophosphate metabolic process	0.0814219048067121	6628	1.32887924268458	5.31854850620074e-119	5.83398808365353e-117	141690	906	1013	1.0357967216811	0.00141474259638793	0.0211260301998433
GO:1901701	cellular response to oxygen-containing compound	0.115629792669764	8982	1.2680827066445	7.08090628068084e-119	7.67242101266455e-117	160834	1047	1151	1.05348204438689	4.72189190797202e-07	2.17378288094981e-05
GO:0006351	DNA-templated transcription	0.289602602771732	20367	1.14807134871891	3.57182123308101e-118	3.82357007902708e-116	165197	2960	3287	1.04291229347075	9.95223392474544e-13	1.30037644737299e-10
GO:0001817	regulation of cytokine production	0.0621190690576277	5257	1.38152043924328	7.84223764278821e-118	8.29503350668729e-116	157036	656	728	1.04358598941322	0.00105821062225078	0.0167597172525814
GO:0045935	positive regulation of nucleobase-containing compound metabolic process	0.189897309674866	13918	1.19647132954001	2.40279078598139e-117	2.5116230745229e-115	176652	1732	1901	1.05516785108862	1.21824395783639e-11	1.32001189821662e-09
GO:1901652	response to peptide	0.083420599575493	6749	1.32071891373858	1.63993577964058e-116	1.69428248861704e-114	155127	828	906	1.05841971047095	1.078588640318e-06	4.56345717582163e-05
GO:0032501	multicellular organismal process	0.581162925400989	38381	1.07810897346211	2.28020672964047e-116	2.32869388423628e-114	165598	6008	6944	1.00201908090493	0.303305360934845	0.648727704376346
GO:0046907	intracellular transport	0.109229409137705	8520	1.27333972008878	9.84699851216439e-116	9.94211156597507e-114	139196	1224	1356	1.04538799414348	3.36626374623589e-06	0.000125669131871033
GO:0043067	regulation of programmed cell death	0.137735844606288	10440	1.2373649170384	4.71824510169339e-115	4.71029300320739e-113	157367	1254	1394	1.04181484756885	1.38568103850017e-05	0.000444468448630832
GO:0051239	regulation of multicellular organismal process	0.297294809303478	20801	1.14219739030946	2.1577424214663e-113	2.13017126830312e-111	176366	2568	2818	1.05538231012306	2.34624585266042e-17	8.01784400034146e-15
GO:0034097	response to cytokine	0.0829320524519318	6691	1.31708223610857	2.57900516430498e-113	2.51807262470877e-111	155917	818	895	1.05848826652053	1.22005792460011e-06	5.0419603070102e-05
GO:0009890	negative regulation of biosynthetic process	0.213321033277999	15392	1.1778924883199	4.31455258341078e-112	4.16682605473965e-110	169415	1991	2234	1.03215250533811	1.66175493816864e-05	0.000518959506447568
GO:0001816	cytokine production	0.0633046461558794	5303	1.36750939170845	4.40717344660905e-112	4.19049475463423e-110	157075	661	734	1.04294445486135	0.00118851692539521	0.0184977109116172
GO:0009894	regulation of catabolic process	0.0843191293295637	6778	1.31225950525941	4.43338781019265e-112	4.19049475463423e-110	147888	863	971	1.02931273400051	0.00907347658093577	0.0860173015655544
GO:0001775	cell activation	0.098488799039049	7753	1.2850712820712	9.07906015089139e-112	8.49131046743895e-110	170701	965	1066	1.04839728710385	1.18570190044118e-05	0.00038874396256162
GO:0051252	regulation of RNA metabolic process	0.306467833830205	21363	1.13794590667017	1.13335936204198e-111	1.04894770122323e-109	166666	3095	3423	1.04715153583822	8.85180660059369e-16	2.01662311913526e-13
GO:2001141	regulation of RNA biosynthetic process	0.284642821767344	19960	1.14473398663088	2.30281489812012e-110	2.10933096595848e-108	167122	2867	3165	1.04908277994814	1.23265119849042e-15	2.67124534111888e-13
GO:0010558	negative regulation of macromolecule biosynthetic process	0.207877533457043	15016	1.17920953075681	4.78850852362664e-110	4.3414181869819e-108	169090	1932	2163	1.0344425649263	6.04282959242672e-06	0.000210551140896908
GO:0006355	regulation of DNA-templated transcription	0.284320765112589	19932	1.14442299485417	9.86659129020888e-110	8.85501652661676e-108	167174	2855	3153	1.04866777277352	2.49331346312013e-15	5.03479320905054e-13
GO:0033036	macromolecule localization	0.248425325064807	17633	1.15870963133828	1.35166530246168e-109	1.2009546212372e-107	150428	2540	2790	1.054351191507	1.41171135003459e-16	3.91970479533041e-14
GO:0009968	negative regulation of signal transduction	0.141320101063451	10605	1.2250420877581	4.6189181514268e-107	4.06327601736902e-105	167924	1238	1345	1.06599247797003	1.09099810071312e-11	1.19673063269581e-09
GO:0042981	regulation of apoptotic process	0.133783926391932	10100	1.23242844116504	6.60883275618056e-107	5.75681167045728e-105	158574	1210	1349	1.03879344495733	7.13091366600305e-05	0.00181251324300871
GO:0051254	positive regulation of RNA metabolic process	0.17756295693027	13001	1.19527728364854	7.16012576315718e-107	6.17647741802442e-105	178223	1576	1722	1.05993405468462	2.49157442431244e-12	2.99157280540757e-10
GO:0010629	negative regulation of gene expression	0.098459979315763	7709	1.27815222863266	1.16467289785775e-106	9.95011413217895e-105	164098	978	1087	1.04199369360511	0.000119496374610507	0.00275581859314522
