id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0005829	cytosol	0.388279890623583	30067	1.2641234132677	0	0	144577	4649	5233	1.02887968263126	1.44904891667516e-10	1.13605435067332e-08
GO:0031974	membrane-enclosed lumen	0.406892413272879	30017	1.20429246505232	0	0	147381	4824	5449	1.02528893638254	7.4675515716892e-09	3.5127362593226e-07
GO:0043233	organelle lumen	0.406892413272879	30017	1.20429246505232	0	0	147381	4824	5449	1.02528893638254	7.4675515716892e-09	3.5127362593226e-07
GO:0070013	intracellular organelle lumen	0.406892413272879	30017	1.20429246505232	0	0	147381	4824	5449	1.02528893638254	7.4675515716892e-09	3.5127362593226e-07
GO:0005737	cytoplasm	0.73010928596133	51284	1.14666959137279	0	0	149184	10126	11423	1.02662899554455	3.01608627274551e-31	7.09383491349745e-29
GO:0043231	intracellular membrane-bounded organelle	0.727773632620472	50582	1.13460307545399	0	0	150382	10152	11444	1.02737629237133	4.82428650615172e-33	1.41834023280861e-30
GO:0043229	intracellular organelle	0.762971027264928	52780	1.12929034595728	0	0	149701	11004	12456	1.02312279781199	5.78984201283989e-30	1.13480903451662e-27
GO:0043227	membrane-bounded organelle	0.767368589636682	52749	1.12215923658026	0	0	149432	11027	12447	1.02600260830666	3.59706826311263e-37	4.23015227742045e-34
GO:0005622	intracellular anatomical structure	0.817054376036289	56028	1.11943385149646	0	0	150567	12282	13934	1.0208197566398	3.63102782195195e-35	2.13504435930775e-32
GO:0043226	organelle	0.800031858043711	54415	1.11033908659376	0	0	150612	11647	13194	1.02233534431885	2.80937639317137e-33	1.10127554612318e-30
GO:0110165	cellular anatomical structure	0.912013605730669	59719	1.0689453087128	0	0	152244	14586	16806	1.00514248467003	3.74617067727762e-09	2.1365846473475e-07
GO:0005575	cellular_component	0.914329582631227	59788	1.06746963649573	0	0	152324	14633	16862	1.00503241106472	3.81532972740626e-09	2.1365846473475e-07
GO:0043228	membraneless organelle	0.424578360866591	30598	1.17646621627143	8.79678783543843e-305	7.63108840839955e-303	154304	4825	5482	1.01932826345559	7.64233022615707e-06	0.000195377833607842
GO:0043232	intracellular membraneless organelle	0.424563997129849	30597	1.17646756774278	9.0846290576185e-305	7.63108840839955e-303	154308	4824	5481	1.01930294003803	7.8646129540334e-06	0.000196782656041346
GO:0005634	nucleus	0.522790735245333	36571	1.14196614655674	9.09988440576542e-299	7.13430937412009e-297	151188	6364	7234	1.01884342321986	9.8000640021399e-08	3.7177016988763e-06
GO:0005654	nucleoplasm	0.319379322102587	23805	1.21676208168123	3.26241520113358e-286	2.39787517283318e-284	152685	3562	4013	1.02797022415072	1.56681488354533e-07	5.75804469702907e-06
GO:0031982	vesicle	0.295301083429028	22183	1.22630786882269	3.11133947030746e-277	2.1523148335774e-275	139619	3359	3758	1.03516363724201	2.61381562316076e-10	1.92115448302316e-08
GO:0031981	nuclear lumen	0.342802871077865	25233	1.20162433016171	6.3419099492219e-277	4.14338116682497e-275	152353	3865	4363	1.02593551725561	2.91210780934451e-07	1.00724670111445e-05
GO:0070062	extracellular exosome	0.144655664648655	11939	1.34733869667182	8.68248620036526e-252	5.37400198506818e-250	127427	1721	1946	1.02422132572127	0.00213183432520861	0.024578795749464
GO:0043230	extracellular organelle	0.147530705306692	12090	1.33779065631795	2.2321051099516e-244	1.24997886157289e-242	128339	1749	1975	1.02560112682321	0.00113420456918333	0.0149867929590966
GO:0065010	extracellular membrane-bounded organelle	0.147530705306692	12090	1.33779065631795	2.2321051099516e-244	1.24997886157289e-242	128339	1749	1975	1.02560112682321	0.00113420456918333	0.0149867929590966
GO:1903561	extracellular vesicle	0.147481039851331	12081	1.33724495903791	1.57821674650619e-243	8.43628588132402e-242	128391	1748	1974	1.02553399167212	0.00116939113372989	0.0151761248428917
GO:0012505	endomembrane system	0.370142016694979	26654	1.1755423582982	1.56657103837864e-238	8.00994583101424e-237	151549	4080	4560	1.03621792401942	2.09305226508921e-13	2.23766314885901e-11
GO:0032991	protein-containing complex	0.403994103197926	28700	1.15971465910456	2.31958951406263e-229	1.13659886189069e-227	152901	4630	5250	1.02135675939483	1.71485906660571e-06	5.17095964699569e-05
GO:0031090	organelle membrane	0.28053569853693	20828	1.21200304654811	7.66950804482629e-227	3.60773658428628e-225	146254	3191	3563	1.0372101585804	9.31555536583867e-11	7.82506650730448e-09
GO:0016020	membrane	0.636359961782616	42588	1.09251818476695	4.05004904437002e-207	1.83186833699198e-205	153595	7472	8583	1.00821587294439	0.00447235849222173	0.0422517285709204
GO:0005615	extracellular space	0.22333348539119	16881	1.23392454251172	1.41936268801554e-201	6.18211304113433e-200	134458	2600	2953	1.01968417853348	0.00159949176692689	0.0195937741448544
GO:0097708	intracellular vesicle	0.202134005961794	15296	1.2353293730898	1.85288145785135e-179	7.78210212297566e-178	145554	2158	2395	1.04352222327506	1.56751699608693e-09	1.08435293376366e-07
GO:0031410	cytoplasmic vesicle	0.201142793750466	15211	1.2345183922094	3.61650305318327e-177	1.46655434156673e-175	145650	2150	2387	1.04313813046633	2.33873511878946e-09	1.52797361094245e-07
GO:0005739	mitochondrion	0.120799726212663	9757	1.31854401310982	2.5767496384189e-173	1.01008585826021e-171	135081	1498	1684	1.03020939476878	0.000462983455399693	0.00716050139007709
GO:0005856	cytoskeleton	0.196748370595231	14864	1.23330027526202	1.32822497650873e-170	5.03868571733635e-169	149483	2066	2360	1.01385090701541	0.0363358387503352	0.217749910164474
GO:0098588	bounding membrane of organelle	0.181695569359743	13661	1.22738957521081	3.64453902696398e-147	1.33936809240926e-145	153905	1910	2102	1.05234086479724	1.18952706038324e-11	1.07606447923899e-09
GO:0005576	extracellular region	0.293073870241359	20734	1.15491566173915	3.46760213953724e-131	1.23572730790782e-129	142732	3293	3734	1.02134671621858	0.000106300245710474	0.00204932932713963
GO:1902494	catalytic complex	0.127442385638736	9776	1.25225154580199	3.42216713101862e-118	1.18366721943468e-116	136099	1475	1675	1.01984222372763	0.016463603278673	0.11784423745828
GO:0005768	endosome	0.0903694480095182	7170	1.2952148117647	1.094934264518e-108	3.67897912878048e-107	153032	922	1009	1.05826768454336	2.76748200207907e-07	9.86229949831814e-06
GO:0005925	focal adhesion	0.0353348441266137	3245	1.4991869648079	4.00059588390862e-108	1.30686132207682e-106	124918	357	392	1.05472181551977	0.00249237280878146	0.0272971935372894
GO:0005773	vacuole	0.0631848221728458	5262	1.35950983069278	2.39412949858157e-107	7.60944943332953e-106	146919	715	806	1.02736976337789	0.0237505731540535	0.155170411273149
GO:0140513	nuclear protein-containing complex	0.0931562471362032	7346	1.28731021598984	9.91071730294042e-107	3.06710619690998e-105	148336	1053	1214	1.0045359049257	0.359336039919236	0.797319213103815
GO:0015630	microtubule cytoskeleton	0.121800414282833	9251	1.23989295286456	4.63970622260804e-102	1.39904987635565e-100	147873	1289	1446	1.03238195334633	0.000537305239706286	0.00799836660626066
GO:0030055	cell-substrate junction	0.036734725004478	3305	1.46871979054523	3.53734300489216e-100	1.03997884343829e-98	125089	366	402	1.05441314656585	0.00233245175737534	0.0263746467949366
GO:0000323	lytic vacuole	0.0564301929323292	4724	1.36660381883391	6.83976321348677e-99	1.91513369977629e-97	148889	641	721	1.02962373310211	0.0213813483815839	0.143682661124244
GO:0005764	lysosome	0.0564301929323292	4724	1.36660381883391	6.83976321348677e-99	1.91513369977629e-97	148889	641	721	1.02962373310211	0.0213813483815839	0.143682661124244
GO:0031967	organelle envelope	0.0915702357725859	7164	1.27716062557439	7.03711059436234e-98	1.92456792069072e-96	138732	1084	1221	1.02818058308541	0.00502986484810587	0.044811523192216
GO:0005783	endoplasmic reticulum	0.165245718396225	12039	1.18933575450527	1.92035596929234e-92	5.13258777247225e-91	147917	1734	1949	1.03036959299622	0.000148795509193925	0.00273411748143837
GO:0005794	Golgi apparatus	0.148825669224923	10937	1.19967786026183	1.66399960290219e-90	4.34858562891772e-89	163448	1416	1559	1.05189627694293	1.04642945214188e-08	4.73308090661095e-07
GO:0005774	vacuolar membrane	0.0326880274369893	2946	1.47125619601562	7.56488161851716e-90	1.93397843116873e-88	142848	412	455	1.04867665277621	0.00367510935521164	0.0368293750598472
GO:0031984	organelle subcompartment	0.126034602935557	9414	1.21935081422406	1.7388080153538e-89	4.35071962990652e-88	154269	1286	1453	1.02501715539818	0.0061292844000039	0.0517866513566446
GO:0005765	lysosomal membrane	0.0296843238351588	2702	1.48594405931893	3.18665534248605e-86	7.64797282196652e-85	144497	376	415	1.04928998571151	0.00488618919902358	0.044449958082543
GO:0098852	lytic vacuole membrane	0.0296843238351588	2702	1.48594405931893	3.18665534248605e-86	7.64797282196652e-85	144497	376	415	1.04928998571151	0.00488618919902358	0.044449958082543
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	0.0987880145065966	7514	1.24168435759794	4.37339909597513e-82	1.02862346737335e-80	149411	1037	1172	1.02472403919668	0.0141396433462014	0.105241902374258
GO:0012506	vesicle membrane	0.10582670675913	7972	1.22974845251504	1.97589819921951e-80	4.55618878878852e-79	146732	1080	1181	1.05908212386704	1.57024088691656e-08	6.59501172504956e-07
GO:0015629	actin cytoskeleton	0.050616191694215	4181	1.34845040319916	2.27744831587719e-80	5.15053696052226e-79	143919	471	516	1.05712656202118	0.00031674283923786	0.00539839969483657
GO:0048471	perinuclear region of cytoplasm	0.0647432787588053	5170	1.30358732734006	2.86884327407739e-80	6.36558432134908e-79	150131	637	693	1.06453998254877	2.39034617832139e-06	6.85621245294136e-05
GO:0099080	supramolecular complex	0.142816219590215	10426	1.19174808795336	6.71809342289645e-80	1.46305145654189e-78	145140	1501	1738	1.00019965393318	0.508743985732975	0.839334363842979
GO:0098827	endoplasmic reticulum subcompartment	0.0970216135904939	7363	1.23888382678271	9.70681018557764e-79	2.07549250513442e-77	148767	1018	1153	1.02252574288983	0.0243459188792387	0.1556021771847
GO:0005789	endoplasmic reticulum membrane	0.0965672765061564	7331	1.23930303284504	1.34256515421524e-78	2.819386823852e-77	149115	1013	1147	1.02282611331872	0.0231301067907012	0.151960925060696
GO:0030659	cytoplasmic vesicle membrane	0.104147916943995	7834	1.22794030704781	7.31946973196924e-78	1.51012217627997e-76	147361	1060	1161	1.05737594313984	5.41963217274504e-08	2.12449581171606e-06
GO:0005815	microtubule organizing center	0.0781105933881626	6057	1.26587817644033	2.60488639901473e-76	5.28163173317469e-75	144792	814	913	1.03254599657782	0.00538213684455403	0.0472342755910115
GO:0005740	mitochondrial envelope	0.0519512921057572	4240	1.33233605025271	1.3472828363342e-75	2.68543155174409e-74	135435	676	765	1.02338969750907	0.0516526748010724	0.286864514625598
GO:0140535	intracellular protein-containing complex	0.0655029541785636	5181	1.29121029876239	3.59496428909641e-75	7.04613000662896e-74	130569	791	900	1.01786399869855	0.0898517712799023	0.42266273210066
GO:0010008	endosome membrane	0.0476761390943377	3901	1.33573143979444	1.56536846066065e-70	3.01782509792939e-69	156192	489	529	1.07055495741848	6.2505117155142e-06	0.000163346706165438
GO:0031966	mitochondrial membrane	0.0497737658189744	4035	1.32338837405522	9.19338189819649e-69	1.7437769535934e-67	138146	644	722	1.0330098189915	0.0114544822262051	0.0898031406534478
GO:0001726	ruffle	0.0172473593547711	1639	1.5513172353028	4.178684991601e-63	7.80021198432187e-62	133478	167	180	1.07448348788027	0.00495148342586151	0.044449958082543
GO:0005813	centrosome	0.0617717873582296	4807	1.27036415335503	1.45398398885788e-61	2.67169557952635e-60	148936	639	721	1.02641117855264	0.036476813182314	0.217749910164474
GO:1990234	transferase complex	0.0712324825110127	5437	1.24602147966247	7.01301074019715e-60	1.26881548161105e-58	133744	793	896	1.02499313689605	0.0280894795750033	0.174778984022243
GO:0030141	secretory granule	0.0635618518804407	4914	1.26206838100997	7.76533093583685e-60	1.38364078493093e-58	127624	736	846	1.00754216725682	0.306668070935206	0.761617616822075
GO:0016604	nuclear body	0.0719563466256065	5456	1.23779730446315	8.53488571473838e-57	1.49806352246751e-55	151077	728	825	1.02195838324682	0.0559571077742239	0.304655364548553
GO:0099503	secretory vesicle	0.0834008846694085	6220	1.21748607710792	3.9192157689907e-56	6.77793785931332e-55	141152	904	1025	1.02141056315395	0.0401247308198012	0.232446716473331
GO:0001725	stress fiber	0.00749564058496392	810	1.76408919937934	5.67033365854027e-50	9.52616054634766e-49	134476	75	82	1.0592615076956	0.112509903261146	0.497412203891382
GO:0097517	contractile actin filament bundle	0.00749564058496392	810	1.76408919937934	5.67033365854027e-50	9.52616054634766e-49	134476	75	82	1.0592615076956	0.112509903261146	0.497412203891382
GO:0032587	ruffle membrane	0.0089260973364094	925	1.69170405575114	1.11559033212197e-49	1.84779469095133e-48	137200	90	96	1.08574304538799	0.017438302516897	0.121345821064325
GO:0042641	actomyosin	0.00828835641176649	868	1.70960422799276	2.29477012816274e-48	3.7481245426658e-47	134058	82	89	1.06703735996183	0.0679250735045605	0.349146031619281
GO:0005769	early endosome	0.0396637549444009	3164	1.30222768698285	3.30401515591248e-48	5.32263263473025e-47	151150	373	410	1.05361211298789	0.00244805402231383	0.0272971935372894
GO:0071944	cell periphery	0.493262205327184	32012	1.05944702086524	5.04345673318158e-48	8.01500691651559e-47	164043	4824	5588	0.999785149310749	0.529534577907035	0.866420350863438
GO:0031983	vesicle lumen	0.0215413057954679	1873	1.41941708250729	6.79432529276382e-48	1.06258390810826e-46	127839	265	300	1.0230112249878	0.177898561879787	0.632050479669577
GO:0031252	cell leading edge	0.0434606073684159	3425	1.28649783774758	6.86703886192411e-48	1.06258390810826e-46	141303	386	418	1.06946555794518	7.69252051421578e-05	0.00153328883469792
GO:0000139	Golgi membrane	0.0632367659600386	4775	1.23267333310283	1.03601951583178e-47	1.58228435145218e-46	163821	587	648	1.04910480270412	0.000520211676198085	0.00784319142575574
GO:0101002	ficolin-1-rich granule	0.00912360178025684	932	1.66760760574962	1.1557209746488e-47	1.74247162331665e-46	88611	144	164	1.01689104738778	0.34106210871511	0.79539325131833
GO:0099081	supramolecular polymer	0.0788379398476913	5822	1.2055388489663	1.29096531500526e-47	1.89771901305774e-46	143961	811	965	0.973305820860422	0.984403878807823	1
GO:0099512	supramolecular fiber	0.0788379398476913	5822	1.2055388489663	1.29096531500526e-47	1.89771901305774e-46	143961	811	965	0.973305820860422	0.984403878807823	1
GO:0005770	late endosome	0.0240952449756696	2052	1.39024162165666	6.51341582315966e-47	9.45651482473551e-46	154472	269	294	1.05964582026075	0.00417966768222738	0.0402892556909786
GO:0098562	cytoplasmic side of membrane	0.0160084642536372	1458	1.4867985523126	7.12100287546188e-47	1.02125602213941e-45	123623	179	198	1.04699262019906	0.0536092498433284	0.29460036362502
GO:0090575	RNA polymerase II transcription regulator complex	0.0225762382857844	1938	1.40134951828435	2.64002457870601e-46	3.720993202287e-45	174982	206	239	0.998217315927149	0.573898006988766	0.898465174551751
