id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0005515	protein binding	0.820898137654966	55936	1.11236268665773	0	0	150992	12041	13672	1.01996738907875	1.87824853473979e-30	3.69146327482503e-27
GO:0005488	binding	0.871615692138388	58281	1.09155652626623	0	0	151500	13398	15282	1.0153494968099	3.73063494171302e-30	3.69146327482503e-27
GO:0003674	molecular_function	0.901112771001253	59492	1.07776406865081	0	0	152132	14339	16534	1.00437688982337	3.1927863752061e-06	0.000121510081471786
GO:0003824	catalytic activity	0.394526724189543	28102	1.1628001499289	1.06067753956516e-228	5.24770212699861e-226	143544	4584	5165	1.02785076374233	8.7311670118395e-10	1.09839659924093e-07
GO:0019899	enzyme binding	0.17224239682091	13472	1.2768394430197	3.93028751041881e-201	1.55560779662376e-198	147281	1764	1980	1.03178490616265	6.48318903951415e-05	0.0019812242563998
GO:0036094	small molecule binding	0.465490414605071	32101	1.12577628384299	3.15804017248927e-185	1.04162691689271e-182	150411	5254	5868	1.03694505075547	7.06094670813552e-19	3.49340338385005e-16
GO:0043167	ion binding	0.456239132971164	31418	1.12416556560392	8.02323387230988e-174	2.26828283332875e-171	151349	5102	5691	1.0382636476438	2.29218635436188e-19	1.51207893176072e-16
GO:0030234	enzyme regulator activity	0.114286061625428	9243	1.32027366994512	1.90733788486345e-164	4.71827709268095e-162	146715	1156	1298	1.03142801065723	0.00141814671402042	0.0292345036150668
GO:0044877	protein-containing complex binding	0.0987253009804939	8121	1.34284324920415	7.34310631041404e-159	1.61466748758993e-156	155565	1058	1184	1.03487940722567	0.00077526482714796	0.0182648701538787
GO:0060090	molecular adaptor activity	0.120908324313853	9626	1.29967250450397	1.74955549069853e-154	3.4623703160924e-152	162386	1191	1301	1.06020596837887	1.32876324186774e-09	1.46090136425347e-07
GO:0098772	molecular function regulator activity	0.190630548888369	14167	1.21319237394272	6.27493043987541e-138	1.12891703095577e-135	152590	1918	2145	1.03556433805336	3.34944785121478e-06	0.000122751061065816
GO:0030674	protein-macromolecule adaptor activity	0.110595014958957	8780	1.29599474436967	1.78406448949861e-136	2.94221968726479e-134	159398	1074	1178	1.05588050322282	9.74296972130042e-08	5.71244862950756e-06
GO:0003676	nucleic acid binding	0.288775084600702	20328	1.14915658074515	2.24485258870421e-119	3.41735636388126e-117	155486	3316	3731	1.02930729949264	1.48871664226802e-07	7.75576789112544e-06
GO:0042802	identical protein binding	0.18767094273446	13785	1.19909615664181	1.21313390976427e-118	1.71485143387392e-116	156376	1862	2077	1.03824287620604	9.24841830108366e-07	3.81304579538428e-05
GO:1901265	nucleoside phosphate binding	0.170205934778832	12632	1.2115509823009	2.16047873636876e-118	2.85039161284918e-116	140437	1816	2017	1.04271525125743	6.94090961270592e-08	4.90573575840894e-06
GO:0043168	anion binding	0.198228164311044	14465	1.19123475275875	1.74116469435715e-117	2.153603081333e-115	143555	2088	2314	1.04501595103204	8.83811557340288e-10	1.09839659924093e-07
GO:0000166	nucleotide binding	0.169397681498246	12521	1.20663475355139	1.54637880571489e-112	1.80016685677045e-110	140986	1799	1998	1.04277703765259	7.74404347274972e-08	5.28464208019713e-06
GO:0008092	cytoskeletal protein binding	0.088750351986184	7080	1.30228923223491	1.92270981902788e-111	2.11391262880899e-109	143431	878	954	1.06586431178271	1.4314908986278e-08	1.13316819535377e-06
GO:1901363	heterocyclic compound binding	0.18021419548311	13186	1.19445103240824	6.33978047059708e-108	6.60338186911138e-106	140507	1925	2136	1.04372302740169	1.23254447386285e-08	1.01633563073941e-06
GO:0017076	purine nucleotide binding	0.158448848618014	11727	1.20820913106758	1.7888887083458e-105	1.77010537690817e-103	143110	1667	1844	1.04696090045512	1.57176430554851e-08	1.19635444641558e-06
GO:0003723	RNA binding	0.114032957102409	8753	1.25305697421045	6.61952629271475e-105	6.23811549203928e-103	131942	1368	1572	1.00783476579527	0.218924555893267	0.759568280053171
