id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0110165	cellular anatomical structure	0.908990124949041	5009	1.02923251948535	7.89866982039762e-13	6.18465846937134e-10	222968	3428	19103	1.00007444264891	0.509385632125188	0.860838971384403
GO:0099569	presynaptic cytoskeleton	0.000751316582748001	23	5.71776753777188	6.44240653777462e-11	2.52220215953876e-08	192101	3	7	2.38845083487941	0.114512707315529	0.42025370931521
GO:0005575	cellular_component	0.927239467140663	5077	1.02267323011281	3.06838995057205e-10	8.00849777099304e-08	223211	3596	19971	1.00348980047042	0.100974721888512	0.399309127468207
GO:0055037	recycling endosome	0.016659935191934	142	1.591976563369	1.20729667720511e-07	2.30822737798453e-05	176284	48	212	1.2618230825778	0.0473891762127915	0.253380441511679
GO:0034703	cation channel complex	0.0276701945244799	214	1.44451878594162	1.473963842902e-07	2.30822737798453e-05	299326	58	226	1.43025226985404	0.00227652810358645	0.0296687100332174
GO:0034362	low-density lipoprotein particle	0.00146676927622104	25	3.18346322577769	8.2536604636829e-07	0.000107710269051062	220112	6	14	2.38845083487941	0.0268513314460656	0.176677248086297
GO:0044316	cone cell pedicle	0.000581300875360896	15	4.81961020476834	1.0356687973392e-06	0.000115846952616656	122853	4	5	4.45844155844156	0.00443390747657767	0.0508953369860106
GO:0032994	protein-lipid complex	0.00282670192579276	36	2.37872435465462	3.47785385841393e-06	0.000340394946392263	172256	15	49	1.70603631062815	0.0215428465325958	0.146678685521935
GO:0043220	Schmidt-Lanterman incisure	0.00195153554997685	28	2.67980502727625	4.88988507890875e-06	0.000393167674020605	229890	8	17	2.62261268143621	0.0055447583665282	0.0594732301505696
GO:0031528	microvillus membrane	0.00324900487820432	39	2.24200138611189	5.44410748633848e-06	0.000393167674020605	259345	9	35	1.43307050092764	0.16267203554925	0.517773186321395
GO:0097418	neurofibrillary tangle	0.000431191966431391	12	5.19795144444266	5.71864612455289e-06	0.000393167674020605	285522	1	5	1.11461038961039	0.628020415649678	0.942477020561127
GO:0045259	proton-transporting ATP synthase complex	0.00067394167032324	15	4.15710105829545	6.025558222538e-06	0.000393167674020605	276027	3	18	0.928841991341991	0.651566704015718	0.962597602347749
GO:0034704	calcium channel complex	0.00724489354113945	68	1.75306709313207	1.27756940460519e-05	0.000769489879850666	207120	20	68	1.63913292589763	0.0139605978366242	0.112692248516255
GO:0001651	dense fibrillar component	0.000257012767859592	9	6.5404773177511	1.41767374307854e-05	0.000792884672021783	190268	1	7	0.796150278293135	0.749565325064957	0.977356063898242
GO:0043527	tRNA methyltransferase complex	0.000645751703791583	14	4.04933873734244	1.61372915649959e-05	0.000817080427334668	287454	3	10	1.67191558441558	0.261131956588721	0.69076460138165
GO:0043218	compact myelin	0.00244110288845629	31	2.37190473670851	1.66964071996867e-05	0.000817080427334668	274913	9	22	2.27988488783943	0.00999789503469265	0.0889585433200494
GO:0032839	dendrite cytoplasm	0.00434600000960137	46	1.97692294428699	1.96530606951045e-05	0.000905196854368638	283786	13	42	1.72499226963513	0.0285117952301247	0.186039463876563
GO:0016020	membrane	0.625003250095325	3491	1.04325195259229	2.14559564156488e-05	0.000933334104080722	233473	1810	9925	1.01634499002257	0.149251237973331	0.499417603987685
GO:0030687	preribosome, large subunit precursor	0.000684822723942824	14	3.8183128238111	3.03323470749001e-05	0.00125001198734983	104893	5	17	1.63913292589763	0.175772912521742	0.546151549621126
GO:0005592	collagen type XI trimer	0.000877533480892074	16	3.40547675737024	3.32956932210784e-05	0.00130352638960522	317340	4	5	4.45844155844156	0.00443390747657767	0.0508953369860106
GO:0044194	cytolytic granule	0.000614093231449434	13	3.95394546374521	4.05405797056369e-05	0.00138958909060299	21118	7	20	1.95056818181818	0.0527996779059241	0.268455505197004
GO:0034358	plasma lipoprotein particle	0.00256315176290236	31	2.2589624179592	4.08180703497685e-05	0.00138958909060299	167188	13	46	1.57499294184077	0.0569142012543077	0.282049491026094
GO:1990777	lipoprotein particle	0.00256315176290236	31	2.2589624179592	4.08180703497685e-05	0.00138958909060299	167188	13	46	1.57499294184077	0.0569142012543077	0.282049491026094
GO:0043209	myelin sheath	0.013837484763626	110	1.48476308937502	5.07080285781685e-05	0.00159404106093413	169609	41	210	1.08807204700062	0.300358825844023	0.740865189262095
GO:0097025	MPP7-DLG1-LIN7 complex	0.000541843458449976	12	4.1364620533682	5.18340462107191e-05	0.00159404106093413	144780	1	5	1.11461038961039	0.628020415649678	0.942477020561127
GO:0000109	nucleotide-excision repair complex	0.00132612689904895	20	2.81686831322038	5.29311207973018e-05	0.00159404106093413	238187	3	13	1.28608891108891	0.42097285584296	0.828195342022708
GO:0034702	monoatomic ion channel complex	0.0446698026849272	300	1.25437922826353	5.75393185665449e-05	0.0016686402384298	288145	94	351	1.49249824249824	2.28033599180301e-05	0.000661297437622874
GO:0034364	high-density lipoprotein particle	0.00169619716807586	23	2.53263809672514	7.48465093682747e-05	0.0020930291726914	76376	12	38	1.75991114149009	0.0297446243369189	0.18782291012748
GO:0005938	cell cortex	0.0332986861720758	230	1.29009701620862	8.79717797479498e-05	0.00232150187814381	205707	84	365	1.28256537982565	0.00788630634780788	0.0781642768396655
GO:0098562	cytoplasmic side of membrane	0.018101614363018	136	1.40327643772642	8.89464321127896e-05	0.00232150187814381	264422	50	217	1.2841133520857	0.0330616768317279	0.199133022763407
