id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0003674	molecular_function	0.916761461223822	5042	1.0272310217093	2.18285807789797e-12	2.65217256464604e-09	221970	3544	19655	1.00487896738215	0.071948362432958	0.387307553018552
GO:0005041	low-density lipoprotein particle receptor activity	0.00125149491259564	29	4.32803279125145	1.54771296565331e-10	9.40235626634383e-08	356525	2	10	1.11461038961039	0.559012774070039	0.850319754204589
GO:0030228	lipoprotein particle receptor activity	0.00157585327405325	30	3.55571635641439	6.54332772045047e-09	2.65004772678244e-06	348207	3	16	1.04494724025974	0.567579687785943	0.850319754204589
GO:0004867	serine-type endopeptidase inhibitor activity	0.00557148849395245	63	2.11198556053359	7.47990523968346e-08	1.42554538313953e-05	169315	29	130	1.24321928071928	0.119338902918843	0.486566332370449
GO:0019904	protein domain specific binding	0.0880320746174975	584	1.23906344179844	7.99993110216086e-08	1.42554538313953e-05	267836	198	824	1.33915568654646	4.46633508720158e-06	0.00104951941319382
GO:0015252	proton channel activity	0.00110798572075496	23	3.87717412504117	8.040321570639e-08	1.42554538313953e-05	231463	4	22	1.01328217237308	0.575012877686089	0.851295202436264
GO:0005515	protein binding	0.653076678911012	3678	1.051887229306	8.21301866829361e-08	1.42554538313953e-05	240248	1871	9618	1.0841318563948	7.13689524737389e-08	8.67132772555927e-05
GO:0019534	toxin transmembrane transporter activity	0.000565964738867008	16	5.28022272019032	1.39522925532307e-07	2.11900443152191e-05	50576	5	10	2.78652597402597	0.0210189631547097	0.228018216365824
GO:0015643	toxic substance binding	0.00144808965574213	26	3.35350941452828	1.92822812278206e-07	2.57722355413768e-05	162145	6	15	2.22922077922078	0.038109005893624	0.291099497985382
GO:0033550	MAP kinase tyrosine phosphatase activity	0.000660645920237745	17	4.80619953561738	2.12117164949603e-07	2.57722355413768e-05	172030	3	6	2.78652597402597	0.0752301090636857	0.387307553018552
GO:0008146	sulfotransferase activity	0.00933978757688941	89	1.7798140917735	3.6344962682162e-07	4.01446633262062e-05	310229	19	61	1.73586863955716	0.00860535442816357	0.132348172534414
GO:0005488	binding	0.801847188406263	4435	1.03305548179502	4.08129683693007e-07	4.13231304739169e-05	226857	2620	14215	1.02718227955653	0.0033309056954015	0.0763594418851475
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	0.00217044234531079	31	2.66768823250784	1.72735237757158e-06	0.000161441010673036	151263	8	22	2.02656434474616	0.0315215773834344	0.28172788843672
GO:0034483	heparan sulfate sulfotransferase activity	0.00474308783505042	52	2.0476881147872	2.28819500392799e-06	0.000198582637840893	329561	9	15	3.34383116883117	0.000335433310431315	0.0156750566220788
GO:0016782	transferase activity, transferring sulphur-containing groups	0.0104149416597738	93	1.66781448031118	2.84033217092229e-06	0.000230066905844705	304285	22	81	1.5136684303351	0.0258693361509642	0.251449947387372
GO:0022857	transmembrane transporter activity	0.0932579706805538	597	1.19566634033857	4.26796898041366e-06	0.000324098894450162	256151	230	1093	1.17273737241715	0.00392119886249354	0.0794042769654942
GO:0015267	channel activity	0.0538495154892467	364	1.26252857603051	5.60239740104207e-06	0.00037816182457034	284948	123	506	1.35471420871618	0.000166608102325035	0.009639468777377
GO:0022803	passive transmembrane transporter activity	0.0538495154892467	364	1.26252857603051	5.60239740104207e-06	0.00037816182457034	284948	123	506	1.35471420871618	0.000166608102325035	0.009639468777377
GO:0015129	lactate transmembrane transporter activity	0.00103656841936678	19	3.42355461817568	5.98771733132126e-06	0.000382898766187123	502450	2	5	2.22922077922078	0.22121589921022	0.646099321010619
GO:0008330	protein tyrosine/threonine phosphatase activity	0.000978217598432488	18	3.43683487447318	9.86338477562046e-06	0.000599200625118943	162567	4	8	2.78652597402597	0.0392924425264219	0.291099497985382
GO:0048273	mitogen-activated protein kinase p38 binding	0.00089478989219164	17	3.54853820183087	1.15092892983984e-05	0.00066589459512162	200090	3	8	2.08989448051948	0.159644866188993	0.567218003590425
GO:0140612	DNA damage sensor activity	0.000898217983091784	17	3.53499503998431	1.20754121644494e-05	0.000666892080900272	210088	2	20	0.557305194805195	0.897190125533421	0.970691008480059
GO:0019213	deacetylase activity	0.00267956936727017	33	2.3002263211889	1.66517085896683e-05	0.00087964460593248	327209	6	35	0.955380333951762	0.617932492576687	0.858043403977914
GO:0008324	monoatomic cation transmembrane transporter activity	0.058557413646377	386	1.23119558987552	2.44522640385986e-05	0.00123789586695405	284011	129	596	1.20624782097098	0.0109772410108266	0.154197421481012
GO:0097100	supercoiled DNA binding	0.000285161186352574	9	5.89486318267632	3.16105720468003e-05	0.0015362738014745	190268	1	5	1.11461038961039	0.628020415649678	0.85872484438078
GO:0015171	amino acid transmembrane transporter activity	0.0132430520640777	107	1.50909758595946	3.43811849937215e-05	0.00160665922182198	269830	30	105	1.59230055658627	0.0048993951001283	0.0862719571979114
GO:0070628	proteasome binding	0.00119023950604851	19	2.98154159826177	3.85148211430665e-05	0.00169926827751602	195203	4	20	1.11461038961039	0.494780698647146	0.824477556857524
GO:0038024	cargo receptor activity	0.00597238249745359	57	1.78257936461265	3.91600919921387e-05	0.00169926827751602	277294	17	68	1.39326298701299	0.0904346051605531	0.430894295176753
GO:0047631	ADP-ribose diphosphatase activity	0.000170099181173898	7	7.68630210569584	4.65763261285616e-05	0.0019513874567656	86348	2	5	2.22922077922078	0.22121589921022	0.646099321010619
GO:0003916	DNA topoisomerase activity	0.000458197813860806	11	4.4839556203257	5.18885159747918e-05	0.00209761905677558	157912	2	8	1.39326298701299	0.434901350031232	0.792528751141738
GO:0016423	tRNA (guanine) methyltransferase activity	0.000818498628157416	15	3.42290571364443	5.45960122297337e-05	0.00209761905677558	272007	4	12	1.85768398268398	0.153760651339981	0.567218003590425
GO:0050833	pyruvate transmembrane transporter activity	0.000726106366008238	14	3.60121810147918	5.6250113339949e-05	0.00209761905677558	610180	2	5	2.22922077922078	0.22121589921022	0.646099321010619
GO:0005261	monoatomic cation channel activity	0.0391741590024479	267	1.27301409654871	5.83408404385317e-05	0.00209761905677558	310053	81	328	1.37627197497624	0.0012357103546524	0.0428968023115048
GO:0008432	JUN kinase binding	0.00178199084626454	24	2.51551786524877	5.86988048809628e-05	0.00209761905677558	159928	7	17	2.29478609625668	0.0216362557315526	0.228591745337707
GO:0034237	protein kinase A regulatory subunit binding	0.00304144787390811	34	2.08795037540735	8.10599597225903e-05	0.00277957140278627	274993	6	25	1.33753246753247	0.28485178094671	0.696663380251609
GO:0017124	SH3 domain binding	0.0126364801607568	101	1.49285245640217	8.23576711936674e-05	0.00277957140278627	246975	32	129	1.38246249874157	0.0308949990202777	0.28172788843672
GO:0004722	protein serine/threonine phosphatase activity	0.0078746945751742	69	1.63657911798993	8.58338843242924e-05	0.00281859917443285	240521	24	89	1.5028454691376	0.0224306027251112	0.229477465656138
GO:0042813	Wnt receptor activity	0.00219444804663841	27	2.2980532819628	9.34702221077332e-05	0.00281888736387342	164311	8	15	2.97229437229437	0.00206118178821943	0.0604615040743484
GO:0003727	single-stranded RNA binding	0.010123141096841	84	1.54983558789918	9.70081914533598e-05	0.00281888736387342	263202	24	100	1.33753246753247	0.0768954873250939	0.390912205439285
GO:0022890	inorganic cation transmembrane transporter activity	0.0575607891336831	374	1.21357465007919	9.79571424675495e-05	0.00281888736387342	295356	124	562	1.22964135508619	0.00673653495435992	0.106297272331783
GO:0033549	MAP kinase phosphatase activity	0.00196273690120367	25	2.37902800354275	9.86510521571503e-05	0.00281888736387342	269904	6	18	1.85768398268398	0.087748929154416	0.42875735803743
GO:0140299	molecular sensor activity	0.00494105177492598	48	1.81444356937765	0.00010109049501293	0.00281888736387342	198294	11	68	0.901523109243697	0.69625710352632	0.88106406089069
GO:0050786	RAGE receptor binding	0.000967248160803359	16	3.08961029247147	0.000101604182302347	0.00281888736387342	90923	4	11	2.02656434474616	0.118605988092381	0.486332331158127
GO:0005215	transporter activity	0.101560376629647	628	1.15493348791602	0.000102083163794593	0.00281888736387342	249796	247	1207	1.14046713435694	0.0111944450354673	0.154197421481012
GO:0034185	apolipoprotein binding	0.00151787223066317	21	2.5840785568549	0.000114410176178525	0.00308907475682017	88516	4	18	1.23845598845599	0.408748061075222	0.787711806392591
GO:0005216	monoatomic ion channel activity	0.0491024764357183	323	1.22862899318342	0.0001283705912622	0.00339065800833855	289705	108	441	1.36482904850252	0.000300683451527645	0.0146132157442435
GO:0005342	organic acid transmembrane transporter activity	0.0198162996528854	145	1.36668074127795	0.000167666294796056	0.00433435208887678	271496	43	199	1.20422730535796	0.105452851016659	0.482010277963784
GO:0070717	poly-purine tract binding	0.00547841597709733	51	1.73874864285306	0.000171517850414932	0.00434154558862796	258173	13	37	1.95809933309933	0.00953524876766975	0.143028731515046
GO:0004175	endopeptidase activity	0.0286341989165911	199	1.29804477082137	0.000186936759037003	0.00463526861693794	186356	88	445	1.10208667736758	0.169297533112666	0.590559394479341
GO:0141003	histone H2AX kinase activity	0.000538805163694494	11	3.8131384053458	0.000209491153740876	0.00509063503590328	360862	2	5	2.22922077922078	0.22121589921022	0.646099321010619
GO:0015386	potassium:proton antiporter activity	0.000931885114249156	15	3.006425994032	0.000219323286035736	0.00522505475555724	158827	6	13	2.57217782217782	0.0180335274181907	0.211699331596692
GO:0008143	poly(A) binding	0.00456745256657778	44	1.79928626098158	0.000226962568996553	0.00530306771790023	288029	10	28	1.99037569573284	0.0193953073173197	0.216195398078381
GO:0071889	14-3-3 protein binding	0.00528288977396367	49	1.73239197723632	0.000245561070027357	0.00555587137892843	288514	14	51	1.52985739750446	0.0613988448723195	0.356935868516116
GO:0015297	antiporter activity	0.0113488939778018	90	1.48118942854349	0.000246927616841263	0.00555587137892843	231239	31	130	1.32895854145854	0.0537084705469362	0.331247673677804
GO:0061608	nuclear import signal receptor activity	0.00116395999387703	17	2.72792547145708	0.00026630570304277	0.00588293507630847	148265	3	18	0.928841991341991	0.651566704015718	0.868074001492347
GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity	0.00139295578612963	19	2.54763908123638	0.000279723810569806	0.00601770106044833	178491	5	13	2.14348151848152	0.0672111204590484	0.3801058182906
GO:0003785	actin monomer binding	0.00248201939694359	28	2.10704831081348	0.00028231190160128	0.00601770106044833	290277	7	26	1.50043706293706	0.171578161523627	0.590559394479341
GO:0098973	structural constituent of postsynaptic actin cytoskeleton	0.000755088389240821	13	3.21563830328178	0.000300243491068303	0.00609797245553529	212487	4	8	2.78652597402597	0.0392924425264219	0.291099497985382
GO:0005124	scavenger receptor binding	0.000105843250815542	5	8.82324761488637	0.000304251530993792	0.00609797245553529	35728	3	5	3.34383116883117	0.0433186640786985	0.299046459406924
GO:0015075	monoatomic ion transmembrane transporter activity	0.0693504273497171	437	1.17693893030396	0.000305940979887196	0.00609797245553529	273176	157	720	1.21523493867244	0.00409919075648273	0.08164781588732
GO:0016801	hydrolase activity, acting on ether bonds	0.000388053015584409	9	4.33184670920935	0.000311172256990278	0.00609797245553529	50541	5	12	2.32210497835498	0.0482966615971801	0.317191588327426
GO:0016803	ether hydrolase activity	0.000388053015584409	9	4.33184670920935	0.000311172256990278	0.00609797245553529	50541	5	12	2.32210497835498	0.0482966615971801	0.317191588327426
GO:0015318	inorganic molecular entity transmembrane transporter activity	0.0671559218912434	424	1.17924264017316	0.000324943053132452	0.00626675888184015	275724	153	682	1.25025945462162	0.00143272092581503	0.0483543312462573
