PeakID	Annotation
1-102952	promoter
1-91449	promoter
1-101133	promoter
1-25957	enhancer
1-94890	enhancer
1-14989	enhancer
1-66206	enhancer
1-103465	enhancer
1-29225	promoter
1-65335	enhancer
1-89181	promoter
1-37605	enhancer
1-16941	promoter
1-62610	enhancer
1-85458	enhancer
1-19833	promoter
1-107336	enhancer
1-49569	promoter
1-52904	promoter
1-95176	enhancer
1-85950	enhancer
1-61982	promoter
1-42036	enhancer
1-40717	enhancer
1-65222	enhancer
1-25977	promoter
1-4523	promoter
1-54564	enhancer
1-56717	promoter
1-40910	promoter
1-14853	enhancer
1-110206	promoter
1-109233	enhancer
1-104863	promoter
1-19735	enhancer
1-62423	promoter
1-74755	enhancer
1-108812	enhancer
1-9897	enhancer
1-66272	enhancer
1-74592	promoter
1-64434	promoter
1-30164	enhancer
1-50091	enhancer
1-76122	enhancer
1-67170	promoter
1-6825	enhancer
1-69771	enhancer
1-77611	enhancer
1-36879	enhancer
1-15796	enhancer
1-86987	promoter
1-88514	enhancer
1-19123	enhancer
1-1980	enhancer
1-107537	promoter
1-61016	enhancer
1-8856	promoter
1-47525	enhancer
1-23448	promoter
1-11241	enhancer
1-39795	promoter
1-43690	enhancer
1-10042	promoter
1-46310	enhancer
1-60081	enhancer
1-104713	enhancer
1-92003	promoter
1-44241	enhancer
1-103247	enhancer
1-40734	enhancer
1-55490	enhancer
1-26048	enhancer
1-17030	enhancer
1-81856	enhancer
1-12013	enhancer
1-81586	enhancer
1-49165	enhancer
1-798	enhancer
1-95367	enhancer
1-106765	enhancer
1-49375	promoter
1-93823	enhancer
1-102959	promoter
1-93977	enhancer
1-38068	promoter
1-25125	enhancer
1-74841	enhancer
1-32698	enhancer
1-26372	enhancer
1-9067	enhancer
1-102269	enhancer
1-53577	enhancer
1-62543	enhancer
1-20850	enhancer
1-11985	enhancer
1-50880	enhancer
1-85337	enhancer
1-80009	enhancer
1-79650	enhancer
1-15539	promoter
1-45536	enhancer
1-97478	enhancer
1-56792	enhancer
1-35491	enhancer
1-100408	enhancer
1-28367	promoter
1-14110	promoter
1-39911	enhancer
1-14254	promoter
1-99746	enhancer
1-89758	enhancer
1-35105	promoter
1-65493	enhancer
1-81853	enhancer
1-85933	enhancer
1-76020	enhancer
1-1092	promoter
1-93173	enhancer
1-9749	enhancer
1-73535	enhancer
1-35696	promoter
1-756	enhancer
1-36945	enhancer
1-45085	enhancer
1-6226	promoter
1-65722	enhancer
1-1636	enhancer
1-14002	enhancer
1-56811	enhancer
1-86069	promoter
1-30	promoter
1-102777	enhancer
1-24241	promoter
1-21892	enhancer
1-31341	enhancer
1-40438	enhancer
1-18739	enhancer
1-23646	enhancer
1-51085	promoter
1-91788	enhancer
1-37544	enhancer
1-64196	promoter
1-88502	enhancer
1-42374	promoter
1-33719	promoter
1-68873	promoter
1-107660	enhancer
1-71010	enhancer
1-57423	enhancer
1-25124	enhancer
1-11897	enhancer
1-98949	enhancer
1-84797	enhancer
1-88565	enhancer
1-79872	promoter
1-67058	enhancer
1-42806	enhancer
1-94340	promoter
1-72642	enhancer
1-61137	enhancer
1-83592	enhancer
1-40726	enhancer
1-91419	enhancer
1-43095	enhancer
1-56486	promoter
1-11141	enhancer
1-1719	promoter
