PeakID	Annotation
1-933	enhancer
1-3334	enhancer
1-3832	enhancer
1-4466	enhancer
1-2670	enhancer
1-325	enhancer
1-2686	enhancer
1-5490	enhancer
1-6629	enhancer
1-7323	enhancer
1-4851	enhancer
1-5922	enhancer
1-360	enhancer
1-7840	enhancer
1-7906	enhancer
1-4462	enhancer
1-5465	enhancer
1-8150	enhancer
1-2254	enhancer
1-53	enhancer
1-6236	enhancer
1-5046	enhancer
1-5045	enhancer
1-4265	enhancer
1-730	enhancer
1-5587	enhancer
1-7027	enhancer
1-5129	enhancer
1-8294	enhancer
1-8203	enhancer
1-2401	enhancer
1-7876	enhancer
1-1267	enhancer
1-1336	enhancer
1-5595	enhancer
1-7988	enhancer
1-2435	enhancer
1-2204	enhancer
1-7431	enhancer
1-2743	enhancer
1-5477	enhancer
1-2165	enhancer
1-8326	enhancer
1-644	enhancer
1-781	enhancer
1-2063	enhancer
1-6352	enhancer
1-456	enhancer
1-4124	enhancer
1-1692	enhancer
1-2503	enhancer
1-6749	enhancer
1-1475	enhancer
1-5561	enhancer
1-5027	enhancer
1-1171	enhancer
1-4031	enhancer
1-563	enhancer
1-8219	enhancer
1-2755	enhancer
1-354	enhancer
1-5852	enhancer
1-2932	enhancer
1-2273	enhancer
1-2421	enhancer
1-3013	enhancer
1-7108	enhancer
1-4885	enhancer
1-141	enhancer
1-3530	enhancer
1-5054	enhancer
1-7903	enhancer
1-8081	enhancer
1-2137	enhancer
1-3368	enhancer
1-1693	enhancer
1-1482	enhancer
1-5666	enhancer
1-3999	enhancer
1-7722	enhancer
1-1691	enhancer
1-4690	enhancer
1-6584	enhancer
1-4508	enhancer
1-4952	enhancer
1-5158	enhancer
1-5554	enhancer
1-231	enhancer
1-1721	enhancer
1-5301	enhancer
1-761	enhancer
1-8053	enhancer
1-3695	enhancer
1-4650	enhancer
1-3638	enhancer
1-7901	enhancer
1-7925	enhancer
1-8151	enhancer
1-453	enhancer
1-3984	enhancer
1-5389	enhancer
1-2543	enhancer
1-3251	enhancer
1-5323	enhancer
1-7401	enhancer
1-510	enhancer
1-3550	enhancer
1-1092	enhancer
1-8268	enhancer
1-7905	enhancer
1-2078	enhancer
1-4260	enhancer
1-2978	enhancer
1-5764	enhancer
1-5171	enhancer
1-5484	enhancer
1-5426	enhancer
1-6704	enhancer
1-185	enhancer
1-5724	enhancer
1-1675	enhancer
1-6522	enhancer
1-5039	enhancer
1-5029	enhancer
1-6544	enhancer
1-7700	enhancer
1-4944	enhancer
1-4838	enhancer
1-7980	enhancer
1-6493	enhancer
1-6505	enhancer
1-5169	enhancer
1-7602	enhancer
1-959	enhancer
1-2745	enhancer
1-7492	enhancer
1-6034	enhancer
1-6729	enhancer
1-6157	enhancer
1-4910	enhancer
1-7035	enhancer
1-1280	enhancer
1-84	enhancer
1-1140	enhancer
1-6774	enhancer
1-212	enhancer
1-7976	enhancer
1-5252	enhancer
1-4828	enhancer
1-1881	enhancer
1-779	enhancer
1-9	enhancer
1-6995	enhancer
1-246	enhancer
1-4397	enhancer
1-570	enhancer
1-7044	enhancer
1-1528	enhancer
1-6710	enhancer
