TF,shared,human_specific,mouse_specific
CTCF(Zf)/CD4+-CTCF-ChIP-Seq(Barski_et_al.),✔,✔,
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465),✔,✔,
NFY(CCAAT)/Promoter,✔,,
KLF17(Zf)/2cell-Klf17-CutnTag(GSE211845),✔,,
Sp5(Zf)/mES-Sp5.Flag-ChIP-Seq(GSE72989),✔,,
Klf15(Zf)/Liver-Klf15-ChIP-Seq(GSE166083),✔,,
Sp1(Zf)/Promoter,✔,,
KLF1(Zf)/HUDEP2-KLF1-CutnRun(GSE136251),✔,,
Fli1(ETS)/CD8-FLI-ChIP-Seq(GSE20898),✔,,
KLF3(Zf)/MEF-Klf3-ChIP-Seq(GSE44748),✔,,
ETS1(ETS)/Jurkat-ETS1-ChIP-Seq(GSE17954),✔,,
Sp2(Zf)/HEK293-Sp2.eGFP-ChIP-Seq(Encode),✔,,
Ronin(THAP)/ES-Thap11-ChIP-Seq(GSE51522),✔,,
KLF14(Zf)/HEK293-KLF14.GFP-ChIP-Seq(GSE58341),✔,,
ETV1(ETS)/GIST48-ETV1-ChIP-Seq(GSE22441),✔,,
KLF5(Zf)/LoVo-KLF5-ChIP-Seq(GSE49402),✔,,
ETV4(ETS)/HepG2-ETV4-ChIP-Seq(ENCODE),✔,,
"GFY-Staf(?,Zf)/Promoter",✔,,
GABPA(ETS)/Jurkat-GABPa-ChIP-Seq(GSE17954),✔,,
Etv2(ETS)/ES-ER71-ChIP-Seq(GSE59402),✔,,
Fos(bZIP)/TSC-Fos-ChIP-Seq(GSE110950),,✔,
Fra1(bZIP)/BT549-Fra1-ChIP-Seq(GSE46166),,✔,
Atf3(bZIP)/GBM-ATF3-ChIP-Seq(GSE33912),,✔,
Fra2(bZIP)/Striatum-Fra2-ChIP-Seq(GSE43429),,✔,
BATF(bZIP)/Th17-BATF-ChIP-Seq(GSE39756),,✔,
JunB(bZIP)/DendriticCells-Junb-ChIP-Seq(GSE36099),,✔,
AP-1(bZIP)/ThioMac-PU.1-ChIP-Seq(GSE21512),,✔,
Fosl2(bZIP)/3T3L1-Fosl2-ChIP-Seq(GSE56872),,✔,
CTCF(Zf)/CD4+-CTCF-ChIP-Seq(Barski_et_al.),✔,✔,
Jun-AP1(bZIP)/K562-cJun-ChIP-Seq(GSE31477),,✔,
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465),✔,✔,
Bach2(bZIP)/OCILy7-Bach2-ChIP-Seq(GSE44420),,✔,
Nr5a2(NR)/Pancreas-LRH1-ChIP-Seq(GSE34295),,✔,✔
Nr5a2(NR)/mES-Nr5a2-ChIP-Seq(GSE19019),,✔,
SF1(NR)/H295R-Nr5a1-ChIP-Seq(GSE44220),,✔,✔
NF-E2(bZIP)/K562-NFE2-ChIP-Seq(GSE31477),,✔,
Esrrb(NR)/mES-Esrrb-ChIP-Seq(GSE11431),,✔,✔
Bach1(bZIP)/K562-Bach1-ChIP-Seq(GSE31477),,✔,
ERRg(NR)/Kidney-ESRRG-ChIP-Seq(GSE104905),,✔,✔
Nrf2(bZIP)/Lymphoblast-Nrf2-ChIP-Seq(GSE37589),,✔,
Esrrb(NR)/mES-Esrrb-ChIP-Seq(GSE11431),,✔,✔
Hoxd9(Homeobox)/EB-Hoxd9.HA-ChIP-Seq(GSE142377),,,✔
ERRg(NR)/Kidney-ESRRG-ChIP-Seq(GSE104905),,✔,✔
HRE(HSF)/Striatum-HSF1-ChIP-Seq(GSE38000),,,✔
NF1(CTF)/LNCAP-NF1-ChIP-Seq(Unpublished),,,✔
E-box(bHLH)/Promoter,,,✔
"Pax8(Paired,Homeobox)/Thyroid-Pax8-ChIP-Seq(GSE26938)",,,✔
Zscan4c(Zf)/ESC-Zscan4c-ChIP-seq(GSE140619),,,✔
Slug(Zf)/Mesoderm-Snai2-ChIP-Seq(GSE61475),,,✔
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824),,,✔
COUP-TFII(NR)/K562-NR2F1-ChIP-Seq(Encode),,,✔
EAR2(NR)/K562-NR2F6-ChIP-Seq(Encode),,,✔
Znf263(Zf)/K562-Znf263-ChIP-Seq(GSE31477),,,✔
Hand2(bHLH)/Mesoderm-Hand2-ChIP-Seq(GSE61475),,,✔
"Oct4:Sox17(POU,Homeobox,HMG)/F9-Sox17-ChIP-Seq(GSE44553)",,,✔
"ERb(NR),IR3/Ovary-ERb-ChIP-Seq(GSE203391)",,,✔
HRE(HSF)/HepG2-HSF1-ChIP-Seq(GSE31477),,,✔
Nr5a2(NR)/Pancreas-LRH1-ChIP-Seq(GSE34295),,✔,✔
SF1(NR)/H295R-Nr5a1-ChIP-Seq(GSE44220),,✔,✔
Srebp2(bHLH)/HepG2-Srebp2-ChIP-Seq(GSE31477),,,✔
