PeakID	Annotation
chr8:48554903-48555737:332	enhancer
chr16:87635858-87636300:176	enhancer
chr8:124020642-124021680:539	promoter
chr10:128376674-128377650:117	promoter
chr11:120713425-120714333:347	promoter
chr1:178528728-178529283:478	promoter
chr16:31663350-31664495:1045	promoter
chr9:44882076-44882391:154	promoter
chr4:132732142-132732742:427	promoter
chr6:89553378-89553634:138	enhancer
chr8:94983582-94984523:110	promoter
chr3:87970878-87971893:203	promoter
chr3:79181188-79181955:632	promoter
chr16:62786436-62787270:344	promoter
chr6:7844373-7845372:270	promoter
chr8:13338321-13339381:431	promoter
chr10:42761201-42762436:249	promoter
chr9:114843627-114844849:922	promoter
chr18:37954566-37955211:68	promoter
chr13:91460224-91461375:779	promoter
chr19:57314371-57315447:819	promoter
chr2:32586830-32587371:196	promoter
chr13:34002010-34003060:347	promoter
chr2:131159430-131160709:681	promoter
chr19:44555039-44555773:413	promoter
chr11:69948770-69949209:279	promoter
chr10:80433168-80434364:509	promoter
chr12:59130777-59131915:580	promoter
chr1:62703043-62703734:282	promoter
chr10:128525592-128526305:400	promoter
chr10:122794338-122794955:171	enhancer
chr12:85110519-85111337:302	promoter
chr3:94987655-94987976:155	enhancer
chr9:21167547-21169150:172	enhancer
chr9:44267766-44268814:783	promoter
chr19:23758071-23759345:243	promoter
chr11:60726808-60727514:467	promoter
chr14:120355139-120355739:121	enhancer
chr16:37916192-37916645:206	promoter
chr1:75191469-75192338:301	promoter
chr1:167284282-167285290:872	promoter
chr6:128424366-128425073:334	promoter
chr8:47674763-47675884:158	promoter
chr3:27616316-27617340:687	enhancer
chr4:114908464-114909677:773	promoter
chr7:104218637-104219667:189	promoter
chr18:5931839-5932973:176	enhancer
chr11:115384647-115384972:148	enhancer
chr14:20765555-20766295:326	enhancer
chr4:139622440-139623367:633	promoter
chr14:105732155-105732851:624	enhancer
chr11:3648349-3649754:271	promoter
chr7:75847889-75848652:390	promoter
chr11:75587875-75588920:200	promoter
chr18:64342719-64343027:138	enhancer
chr4:155222950-155223759:409	promoter
chr1:15805369-15806373:252	promoter
chr14:104522152-104522849:513	promoter
chr11:77606821-77608238:1112	promoter
chr17:31564109-31565336:649	promoter
chr16:8637054-8638165:257	promoter
chr3:88296517-88297464:479	promoter
chr8:110618366-110618912:192	promoter
chr4:129188815-129190369:1459	promoter
chr1:58392554-58393816:1121	promoter
chr3:133091215-133092368:199	promoter
chr11:44518663-44519650:295	promoter
chr11:115535420-115536652:988	promoter
chr12:69227791-69228519:390	promoter
chr8:119344186-119344914:224	promoter
chr7:112022772-112024553:471	promoter
chr2:160805159-160805629:131	enhancer
chr11:120783786-120784764:137	promoter
chr4:116994272-116994612:167	promoter
chr6:112245581-112246278:263	enhancer
chr2:30048547-30049299:632	promoter
chr6:136532505-136533082:431	promoter
chr6:124662485-124663680:570	promoter
chr5:136966164-136966761:307	promoter
chr8:60954663-60954992:179	promoter
chr3:131111970-131112626:174	promoter
chr15:63500213-63501033:102	enhancer
chr17:28420144-28421120:468	enhancer
chr1:180568556-180569481:334	promoter
chr6:67266420-67267733:105	promoter
chr8:116921092-116922238:860	promoter
chr11:85925214-85925768:443	enhancer
chr7:126975489-126976916:852	promoter
chr6:30693309-30694066:501	promoter
chrX:97376981-97377489:296	promoter
chr7:19227364-19229005:769	promoter
chr4:118179455-118180366:668	promoter
chr7:99380967-99381937:456	promoter
chr2:167062425-167063322:647	promoter
chr7:110221151-110222300:548	promoter
chr15:80071782-80072506:315	enhancer
chr4:139380183-139381275:125	promoter
chr2:167631330-167632420:820	promoter
chr7:25395501-25396549:228	promoter
chr4:43394183-43395037:106	enhancer
chr9:69125075-69125921:405	enhancer
chr17:66449232-66450305:969	promoter
chr5:8797939-8798738:163	promoter
chr3:75556390-75557671:1081	promoter
chr19:36083534-36084088:178	promoter
chr18:37954566-37955211:455	promoter
chr7:30588255-30589727:1355	promoter
chr12:112145916-112146603:531	promoter
chr10:111472856-111473927:334	promoter
chr15:84987497-84988753:1082	promoter
chr11:119491068-119491985:256	promoter
chr10:19933589-19935015:627	promoter
chr6:34292914-34293247:135	enhancer
chr3:144202271-144202655:157	promoter
chr14:105258381-105259347:808	promoter
chr14:27622186-27622559:195	promoter
chr1:10232158-10233395:433	promoter
chr10:93160249-93161999:354	promoter
chr6:83913912-83915117:418	promoter
chr7:89841931-89842175:129	enhancer
chr8:123065006-123066036:578	promoter
chr11:76253027-76253601:319	enhancer
chr8:70754390-70755005:240	promoter
chr8:122550828-122551900:578	promoter
chr3:89348891-89349393:271	promoter
chr13:55369528-55370644:245	promoter
chr5:33018180-33019563:503	promoter
chr10:88503619-88504275:405	promoter
chr2:119046702-119047631:155	promoter
chr2:121270783-121271652:678	promoter
chr2:158534194-158534469:144	enhancer
chrX:35888276-35889025:399	promoter
chr14:21848675-21849196:258	promoter
chr10:22730764-22732155:701	promoter
chr3:108084976-108086239:443	promoter
chr11:115419644-115421001:817	promoter
chr15:54745362-54746209:184	promoter
chr11:116852219-116854053:1215	promoter
chr2:154407570-154408351:495	promoter
chr16:46496737-46497823:351	promoter
chr15:99819675-99820287:451	promoter
chr1:78657569-78658424:242	promoter
chr2:11552987-11554192:1005	promoter
chr1:30872831-30874296:822	promoter
chr11:79339178-79340558:692	promoter
chr1:191182918-191183752:596	promoter
chr2:90846634-90847672:551	promoter
chr10:80675927-80676869:501	promoter
chr7:126808785-126809550:434	promoter
chr4:14863864-14864949:344	promoter
chr5:110652832-110653930:874	promoter
chr9:108648590-108649599:826	promoter
chr14:61037559-61038147:418	promoter
chr7:127993327-127994016:414	promoter
chr9:78107818-78108805:785	promoter
chr2:71211518-71212298:174	promoter
chr15:6411331-6411761:187	enhancer
chr18:61506344-61506868:208	enhancer
chr2:74704616-74706005:290	promoter
chr7:44929070-44930159:710	promoter
chr19:10041179-10041915:299	promoter
chr14:30136958-30137555:244	enhancer
chr7:141391729-141392532:389	promoter
chr3:14611121-14611804:259	promoter
chr16:5049374-5050763:651	promoter
chr6:89643768-89644953:183	promoter
chr1:161876241-161877376:599	promoter
chr7:16923734-16924749:366	promoter
chr17:10745060-10745490:276	enhancer
chr2:121442038-121442775:360	promoter
chr4:95353807-95354445:389	enhancer
chr3:57575366-57576721:538	promoter
chr16:38197317-38197596:137	enhancer
chr2:154892055-154893160:851	promoter
chr14:18893027-18894361:386	promoter
chr7:19508096-19508996:255	promoter
chr15:9140218-9141046:702	promoter
chr2:84714580-84716138:1363	promoter
chr8:120101039-120101825:491	promoter
chr14:79480696-79482176:134	promoter
chr15:99866498-99867275:131	enhancer
chr11:77981593-77982080:250	promoter
chr2:61592806-61593948:260	promoter
chr2:30285832-30286779:262	promoter
chr11:116808072-116808632:306	enhancer
chr7:101011650-101012329:394	promoter
chr7:19344453-19345655:132	promoter
chr15:102671679-102672264:494	promoter
chr7:132859036-132859803:185	promoter
chr1:132367575-132367988:192	promoter
chr18:36286183-36287870:636	promoter
chr11:109650742-109651910:613	promoter
chr14:64368184-64368569:247	enhancer
chr2:164460691-164461531:301	promoter
chr12:104983479-104983820:128	enhancer
chr18:57877962-57879087:862	promoter
chr16:62853898-62854889:407	promoter
chr11:93955134-93956486:568	promoter
chr16:24392646-24393966:296	promoter
chr2:129592419-129593689:1128	promoter
chr10:62920117-62921034:532	promoter
chr8:111033584-111034251:503	promoter
chr10:88730553-88731180:492	promoter
chr2:158624644-158625484:478	promoter
chr4:86053478-86054177:199	promoter
chr6:94283441-94284404:385	promoter
chr2:71529481-71529886:176	promoter
chr3:109171388-109171820:140	enhancer
chr6:92214525-92215141:398	promoter
chr3:90508840-90509716:670	promoter
chr19:32711823-32712938:282	promoter
chr11:116852219-116854053:876	promoter
chr11:71018966-71019978:464	promoter
chr10:95416495-95417470:792	promoter
chr1:45925473-45926316:513	promoter
chr4:136601996-136602990:774	promoter
chr9:4309144-4310197:618	promoter
chr19:10101260-10102271:936	promoter
chr6:145830162-145830449:153	enhancer
chr11:82845728-82846160:185	promoter
chr17:44776719-44777815:456	promoter
chr1:134060778-134061514:525	enhancer
chr9:14500159-14501010:103	promoter
chrX:94212350-94213373:330	promoter
chr3:51415353-51417142:1692	promoter
chr18:74267751-74268658:453	promoter
chr11:95533652-95534196:293	enhancer
chr19:10456765-10457843:843	promoter
chrX:51017857-51019160:748	promoter
chr5:149051238-149052522:151	promoter
chr2:163016848-163017690:586	promoter
chr9:118960365-118960839:219	enhancer
chrX:107815827-107816557:251	promoter
chr1:86441844-86442951:339	enhancer
chr12:83487681-83488036:183	promoter
chr13:24761180-24762154:349	promoter
chr14:31494498-31495475:603	promoter
chr5:63936774-63937206:157	enhancer
chr7:30625863-30626419:305	promoter
chr17:12758025-12758336:144	enhancer
chr19:5648563-5649971:1034	enhancer
chr19:46039401-46039910:261	promoter
chr11:120990236-120991588:1139	promoter
chr9:108691390-108693079:1386	promoter
chr11:109472936-109474137:803	promoter
chr10:78481840-78482488:198	promoter
chr11:88203712-88204624:624	promoter
chr12:86946844-86947619:443	promoter
chr15:11906083-11906486:242	promoter
chr14:52278839-52279850:263	promoter
chr8:18845889-18847206:998	promoter
chr4:43655808-43656927:688	promoter
chr4:40721879-40723396:157	promoter
chr11:69948081-69948723:186	promoter
chr11:50376875-50378639:758	promoter
chr18:5161961-5162749:668	enhancer
chr7:110061045-110062256:85	promoter
chr6:113392207-113393064:486	promoter
chr3:129289556-129290232:561	enhancer
chr9:31348876-31349163:139	enhancer
chr18:38855581-38856199:510	enhancer
chr4:43957250-43957974:153	promoter
chr3:96580117-96580512:204	enhancer
chr16:28928524-28930301:1301	promoter
chr6:52012019-52013117:972	promoter
chr7:145025190-145026243:495	enhancer
chr6:54705342-54705962:142	enhancer
chr11:116580736-116581726:764	promoter
chr5:113310454-113310978:380	promoter
chr4:19569380-19570302:368	promoter
chr14:120355139-120355739:402	enhancer
chr11:120580985-120582295:604	promoter
chr4:107737979-107738260:127	enhancer
chr4:126058148-126058988:362	promoter
chr12:33009919-33010362:319	enhancer
chr11:116852219-116854053:1524	promoter
chr11:64434888-64436681:325	promoter
chr9:94537643-94539020:993	promoter
chr8:95131055-95131976:798	enhancer
chr11:110566038-110566692:489	enhancer
chr19:34877888-34879495:1502	promoter
chr8:71591800-71592703:713	promoter
chr7:98564527-98565077:255	enhancer
chr2:164804679-164805524:373	promoter
chr16:50309446-50309773:198	enhancer
chr7:44848406-44850481:1960	promoter
chr15:89475997-89476532:240	promoter
chr10:81167400-81168075:412	promoter
chr6:83108713-83109636:356	promoter
chr16:46496737-46497823:571	promoter
chr17:57031337-57032392:418	promoter
chr5:123149598-123150329:233	enhancer
chr8:88668600-88669105:203	enhancer
chrX:7898747-7899850:220	promoter
chr17:47974028-47974725:292	enhancer
chr1:16618564-16619603:797	promoter
chr2:31950044-31950560:149	promoter
chr14:11161707-11162389:416	promoter
chr15:97830722-97832002:832	promoter
chr9:104063278-104064042:120	promoter
chr5:21372489-21373223:203	promoter
chr2:167958618-167959107:322	enhancer
chr1:172481560-172482343:134	promoter
chr6:28421486-28421906:194	promoter
chr4:139232823-139233537:217	enhancer
chr4:11190613-11192016:281	promoter
chr4:134467921-134469245:122	promoter
chr19:6995965-6996457:176	promoter
chr4:59581214-59582027:426	promoter
chr13:55329468-55330319:562	promoter
chr3:27982482-27982719:107	enhancer
chr6:51612359-51613174:287	promoter
chr9:73044646-73045112:159	promoter
chr1:134078648-134079547:582	promoter
chr9:57433021-57434061:914	enhancer
chr3:95881815-95883359:1000	promoter
chr4:150008380-150009594:693	promoter
chr13:55570605-55571369:141	promoter
chr14:45350872-45351724:237	promoter
chr2:118926278-118926973:214	promoter
chr11:96977056-96978271:859	promoter
chr3:127552812-127553748:550	promoter
chr2:157278834-157279701:164	promoter
chr13:83524186-83524984:123	promoter
chr18:62179768-62180585:595	promoter
chr9:115309599-115311087:1318	promoter
chr8:122678012-122678909:615	promoter
chr3:53016582-53017405:602	promoter
chr15:99651281-99651895:372	promoter
chr11:115603432-115604620:1082	promoter
chrX:136172077-136172590:163	promoter
chr8:95080334-95081520:655	promoter
chr12:78918260-78918540:133	enhancer
chr11:68485302-68486132:433	enhancer
chr6:67266420-67267733:487	promoter
chr17:31276696-31277610:393	promoter
chr14:30714962-30716667:203	promoter
chr7:110768430-110769064:165	promoter
chr6:71707592-71708298:154	promoter
chr8:85036343-85037622:153	promoter
chr14:70766244-70767138:501	promoter
chr19:5098387-5098718:209	promoter
chr2:53190958-53192426:1095	promoter
chr9:109931274-109932353:501	promoter
chr1:187215175-187215983:124	promoter
chr4:88721963-88722751:566	promoter
chr7:90442539-90444081:1397	promoter
chr8:81014282-81015549:183	promoter
chr11:51584015-51585184:227	promoter
chr9:120010924-120011859:791	enhancer
chr18:36793643-36794067:192	promoter
chr19:40587968-40588662:503	promoter
chrX:48409822-48410492:252	enhancer
chr14:67234352-67234766:225	promoter
chr10:93589176-93589946:257	promoter
chr11:90002550-90003133:327	promoter
chr5:25100593-25101539:348	promoter
chr2:125247106-125247880:471	promoter
chr11:5520534-5521748:367	promoter
chr1:194641809-194642493:601	enhancer
chr2:181458920-181459915:569	promoter
chr19:11911669-11913076:625	promoter
chr2:35200230-35201503:921	promoter
chr2:132316087-132316494:134	enhancer
chr2:163644606-163645403:472	promoter
chr2:26603644-26604897:1208	promoter
chr16:97804819-97805244:266	enhancer
chr19:24224616-24225273:376	promoter
chr2:3332271-3333221:754	promoter
chr11:86683433-86684296:165	promoter
chr11:77215952-77217048:217	promoter
chr11:79710792-79711465:472	promoter
chr11:87073749-87074407:348	promoter
chr12:84361607-84362436:376	promoter
chr3:90323149-90323556:248	enhancer
chr11:94327755-94328649:183	promoter
chr7:46795355-46796587:384	promoter
chr4:137913288-137914055:197	promoter
chr10:39898766-39899407:437	promoter
chrX:102251949-102252358:170	promoter
chr16:8637054-8638165:439	promoter
chr3:90514761-90515639:133	promoter
chr10:127288340-127289432:952	promoter
chr2:80580643-80581741:946	promoter
chr7:80860689-80861312:222	promoter
chr2:54085380-54085760:213	promoter
chr3:116423234-116424680:1421	promoter
chr18:5163033-5163359:198	enhancer
chr3:132683615-132684572:506	promoter
chr4:62699348-62699868:259	promoter
chr4:41639906-41640541:336	promoter
chr7:110614097-110615151:879	promoter
chr15:36282403-36283616:291	promoter
chr15:61984909-61985771:674	promoter
chr14:70577439-70578275:300	promoter
chr2:134785902-134786890:215	promoter
chr3:78919396-78919781:242	enhancer
chr4:116807161-116808009:190	promoter
chr7:34570109-34571625:1379	enhancer
chr17:87974596-87975777:867	promoter
chr3:152395590-152397096:1082	promoter
chr11:120348342-120348966:273	promoter
chr14:26579354-26580390:844	promoter
chr3:126831390-126831936:185	enhancer
chr5:36464676-36465462:270	promoter
chr14:54863517-54864495:670	promoter
chr11:101060227-101060539:161	enhancer
chr19:45560117-45560913:488	promoter
chr19:58942949-58943877:700	promoter
chr8:105531849-105532083:114	enhancer
chr19:4257217-4258225:546	promoter
chr6:124414445-124416081:686	promoter
chr8:122475765-122476438:348	promoter
chr7:111122006-111123167:770	promoter
chr3:40799725-40800758:255	promoter
chr6:83165601-83166281:109	promoter
chr17:29094334-29095891:156	promoter
chrX:101639661-101640187:246	promoter
chr12:84450556-84451620:813	promoter
chr7:48880902-48881517:181	promoter
chr17:47628973-47630409:300	promoter
chr17:86167285-86168131:382	promoter
chr9:105053106-105053567:160	promoter
chr1:135687828-135688664:73	enhancer
chr13:119755348-119756434:105	promoter
chr1:85793209-85794074:204	promoter
chrX:159532362-159533364:895	promoter
chr15:36898907-36899221:152	enhancer
chr2:121139728-121141034:677	promoter
chr5:73490564-73491579:932	promoter
chr3:157946805-157948077:390	promoter
chr1:134196249-134196805:319	enhancer
chr7:66079358-66080013:241	promoter
chr7:102064942-102065840:791	promoter
chr7:128622573-128623044:266	enhancer
chr4:148444229-148444908:558	promoter
chr4:106910968-106911921:115	promoter
chr13:108315817-108316701:471	promoter
chr2:28192752-28193403:419	promoter
chr2:83723903-83725195:124	promoter
chr19:10388527-10389521:727	promoter
chr4:62470652-62471082:275	promoter
chr16:84703179-84703601:160	promoter
chr13:119408665-119409733:595	promoter
chr4:62286276-62287377:154	promoter
chr11:70432077-70432900:423	promoter
chr11:60104745-60106517:212	promoter
chr5:123138171-123138597:136	enhancer
chr2:132262821-132263672:232	promoter
chr19:6306112-6306946:292	promoter
chr5:121204313-121205127:187	promoter
chr4:11914505-11915005:309	enhancer
chr2:20968039-20969853:1301	promoter
chr7:27195606-27196803:171	promoter
chr2:85050279-85051060:143	enhancer
chr6:30390719-30391187:312	promoter
chr16:18343761-18344306:217	promoter
chr7:139247250-139248883:1163	promoter
chr5:38219887-38220754:638	promoter
chr2:33215651-33216401:256	promoter
chr2:32712664-32713953:979	promoter
chr3:148989041-148990616:101	promoter
chr3:52452349-52453043:192	enhancer
chr13:51198208-51198623:209	enhancer
chr2:119741624-119742666:639	promoter
chr16:56075221-56076138:140	promoter
chr19:5041098-5041722:285	promoter
chr19:57403627-57404783:179	enhancer
chr6:114642952-114643443:182	promoter
chr1:155082914-155083965:145	enhancer
chr17:84790285-84791117:625	promoter
chr10:96033729-96033949:108	enhancer
chr4:124851011-124851447:232	promoter
chr17:24669428-24670138:249	promoter
chr19:40894388-40895517:273	promoter
chr6:147091124-147092306:356	promoter
chr4:116150056-116150861:423	promoter
chr8:105224724-105225601:460	promoter
chr5:140830098-140830904:411	promoter
chr10:62946782-62947320:190	promoter
chr10:62486262-62487403:1002	promoter
chr5:96912836-96913094:126	enhancer
chr7:96951171-96952031:335	promoter
chr5:145139521-145140620:855	promoter
chr17:46253787-46254680:160	promoter
chr7:110061045-110062256:1016	promoter
chr10:42018039-42018607:404	promoter
chr10:93889061-93890002:764	promoter
chr4:137593520-137594696:191	promoter
chr15:96286515-96287198:260	promoter
chr8:76901885-76902621:252	promoter
chr5:115348508-115349416:482	promoter
chr19:5877624-5878639:151	promoter
chr5:31192653-31193612:529	promoter
chr5:92504455-92505904:614	promoter
chr8:111258409-111259608:851	promoter
chr1:191062600-191063410:344	promoter
chr15:10485610-10486357:70	promoter
chr15:8443648-8444880:150	promoter
chr5:65764962-65765235:134	promoter
chr9:44305287-44306118:479	promoter
chr12:110888807-110890004:422	promoter
chr5:107900348-107901287:186	promoter
chr2:109890520-109891363:295	promoter
chr2:60124625-60125843:721	promoter
chr18:34506183-34507425:139	promoter
chr18:64660631-64661486:696	promoter
chr10:14056902-14057601:339	enhancer
chr15:86185374-86186310:403	promoter
chr3:34080993-34081670:341	promoter
chr7:44929070-44930159:845	promoter
chr17:28176801-28177975:469	promoter
chr5:74531465-74531955:300	promoter
chr7:109751406-109752866:1295	promoter
chr4:97923957-97924345:202	enhancer
chr14:54253566-54254451:828	promoter
chr18:6515943-6516691:248	promoter
chr4:152039116-152039890:190	promoter
chr8:95331047-95332461:845	promoter
chr15:102296024-102296587:158	promoter
chr17:6601370-6601956:477	promoter
chr3:144205063-144205878:510	promoter
chr3:152209701-152211235:659	promoter
chr9:41579695-41579979:140	promoter
chr13:88821395-88822134:128	promoter
chr8:33385072-33386471:743	promoter
chr17:25188136-25189088:139	promoter
chrX:73483432-73483728:151	promoter
chr2:128125598-128126184:354	promoter
chr14:65261898-65262754:559	promoter
chr8:127063523-127064874:116	promoter
chr12:108275159-108276287:372	promoter
chr4:40721879-40723396:1204	promoter
chr4:119415140-119415738:440	promoter
chr2:116067031-116067531:357	promoter
chr6:112210338-112210965:372	enhancer
chr5:52115679-52116375:264	promoter
chr3:139074479-139075932:883	promoter
chr19:41980800-41982390:1464	promoter
chr1:160792166-160793216:187	promoter
chr1:93444782-93446192:915	promoter
chr11:96064536-96065778:1170	promoter
chr6:71143690-71144732:642	promoter
chr12:55302350-55303087:338	promoter
chr6:71493457-71494926:409	promoter
chr3:41284806-41285426:224	enhancer
chr7:104218637-104219667:689	promoter
chr6:83033277-83034269:851	promoter
chrX:56730921-56731934:103	promoter
chr6:136532505-136533082:129	promoter
chr5:113650092-113650905:409	promoter
chr3:95110867-95111448:163	promoter
chr9:41326721-41327202:313	promoter
chr5:116422657-116423324:401	promoter
chr19:45363361-45364401:400	promoter
chr2:32756999-32757857:190	promoter
chr19:5688251-5689167:717	promoter
chr15:99343501-99343847:204	enhancer
chr19:21271585-21273036:1137	promoter
chr14:10452988-10453845:181	enhancer
chr6:28261314-28262586:1158	promoter
chr12:84617195-84617667:263	promoter
chr3:95881815-95883359:808	promoter
chr3:138526778-138527682:449	promoter
chr7:133122898-133123693:101	promoter
chr6:29767818-29769168:136	promoter
chr17:47736863-47738532:1534	promoter
chr13:54371384-54372025:119	promoter
chr2:27079099-27079467:177	promoter
chr9:25591860-25592997:902	enhancer
chr9:48480274-48480852:398	promoter
chr7:110668121-110669315:831	enhancer
chr5:150522401-150522967:186	promoter
chr2:51146904-51148199:222	enhancer
chr5:135168102-135169059:180	promoter
chr8:72570632-72571651:511	promoter
chr5:24995607-24996143:339	promoter
chr17:28207557-28208305:215	promoter
chr12:3390811-3391223:266	enhancer
chr11:70220723-70221517:409	promoter
chr1:175624994-175625975:688	promoter
chr2:32606813-32607607:145	promoter
chr6:125095706-125096496:359	promoter
chr17:66076272-66077660:559	promoter
chr1:172489924-172490704:188	enhancer
chr7:80192074-80192970:320	promoter
chr8:40423277-40424283:193	promoter
chr13:29855200-29855858:423	promoter
chr4:120287575-120288244:254	promoter
chr17:33810253-33811389:179	promoter
chr2:91202567-91203107:311	promoter
chr1:166002159-166003608:1283	promoter
chr7:30729123-30729954:456	promoter
chr9:107533754-107534620:207	promoter
chr6:145120628-145121301:241	promoter
chr10:128409550-128410130:325	promoter
chr2:85060498-85061358:413	enhancer
chr6:145746034-145747062:197	promoter
chr9:62980030-62981292:951	promoter
chr3:115793322-115793692:139	enhancer
chr13:51846408-51846768:171	promoter
chr7:101969653-101970802:474	enhancer
chr1:53352400-53353001:330	promoter
chr8:73352635-73354071:1016	promoter
chr3:108200229-108201068:644	promoter
chr3:30792749-30794060:118	promoter
chr10:77978169-77979038:397	promoter
chr5:121220003-121221035:175	promoter
chr7:139187747-139188690:780	promoter
chr14:67008282-67009278:269	promoter
chr5:36988731-36989418:380	promoter
chr7:101108004-101109075:510	promoter
chr10:128096719-128097138:127	promoter
chr14:73237756-73238344:193	promoter
chr5:92954263-92954645:261	enhancer
chr3:103171442-103172037:302	promoter
chr11:86200823-86201812:435	promoter
chr4:134000624-134001223:333	promoter
chr7:30169456-30170275:638	promoter
chr10:42276361-42277104:392	promoter
chr16:33380447-33381633:571	promoter
chr7:27552865-27553488:336	promoter
chr4:155582287-155582654:227	promoter
chr3:152395590-152397096:675	promoter
chr2:155381485-155382344:704	promoter
chr6:42692127-42693294:159	enhancer
chrX:106186648-106187253:271	promoter
chr11:107479212-107479906:238	promoter
chr12:3364929-3366021:216	promoter
chr3:138488890-138489870:549	promoter
chr11:116445712-116446495:450	enhancer
chr5:102069105-102070247:371	promoter
chr19:10555465-10556107:333	promoter
chr4:59548615-59549860:440	promoter
chr3:104864074-104865571:102	promoter
chr14:60529065-60529475:144	enhancer
chr1:73862714-73863080:228	promoter
chr5:107986229-107987549:862	promoter
chr11:75172916-75173841:492	promoter
chr4:59381063-59381364:173	enhancer
chr6:55037607-55038488:394	promoter
chr4:129057840-129059038:204	promoter
chr17:64331341-64332478:851	promoter
chr1:136624545-136625890:262	promoter
chr3:104220171-104220953:583	promoter
chr4:43000300-43000867:254	promoter
chr4:138464625-138465130:354	enhancer
chr11:101087125-101087600:147	promoter
chr16:31080568-31081655:877	promoter
chr4:130662956-130664028:335	promoter
chr6:117906520-117907937:1260	promoter
chr11:98907415-98908219:306	promoter
chr14:55577982-55578999:457	promoter
chr6:86525216-86527181:1485	promoter
chr1:21218459-21218952:131	promoter
chr9:108567191-108567970:282	promoter
chr14:40894621-40894933:174	promoter
chr8:119992298-119992588:146	promoter
chr2:84936434-84936911:185	promoter
chr4:41274542-41275808:588	promoter
chr2:49619156-49619641:124	promoter
chr1:152089554-152091022:808	promoter
chr3:51415353-51417142:537	promoter
chr11:74837665-74838809:709	enhancer
chr7:18990512-18991494:246	promoter
chr19:53902632-53904249:685	promoter
chr2:165234330-165235113:656	promoter
chr2:59286237-59286771:275	enhancer
chr5:64969455-64970753:598	promoter
chr4:121016293-121017622:1010	promoter
chrX:75095505-75096540:430	promoter
chrX:99853237-99853783:378	enhancer
chr9:50659048-50660109:733	promoter
chr13:54621303-54622254:79	promoter
chr17:32099663-32100573:739	promoter
chr4:83417320-83418036:318	promoter
chr10:128193965-128195170:396	promoter
chr11:103158459-103159376:734	enhancer
chr3:88296517-88297464:125	promoter
chr2:181287354-181288372:786	promoter
chr2:31670507-31671056:163	promoter
chr10:127620935-127622360:228	promoter
chr4:49631511-49632562:533	promoter
chr11:115513287-115514690:1201	promoter
chr13:12565499-12566286:265	promoter
chr4:124741583-124742274:249	promoter
chr5:136566973-136567746:645	promoter
chr9:78587564-78588321:531	promoter
chr4:132767933-132768811:270	promoter
chr12:84408293-84409366:718	promoter
chr5:115652678-115653478:92	enhancer
chr17:74489287-74490003:203	promoter
chr6:134928280-134928949:496	promoter
chr15:12117199-12119193:170	promoter
chr16:34095595-34096256:457	promoter
chr14:30825415-30826191:159	promoter
chr4:150854749-150855637:259	promoter
chr10:61535914-61536855:437	enhancer
chr8:94983582-94984523:369	promoter
chr5:149006626-149007478:764	enhancer
chr8:107292944-107294581:1302	promoter
chr19:11965077-11966057:656	promoter
chr7:44929070-44930159:478	promoter
chr5:117115860-117116392:353	promoter
chr12:86678390-86679598:320	promoter
chr10:100486850-100487878:124	promoter
chr10:8518215-8519454:1141	promoter
chr12:51690904-51692574:304	promoter
chr6:99522952-99523700:464	promoter
chr18:46198147-46199595:1279	promoter
chr8:125733990-125734605:223	promoter
chr11:121451412-121452582:545	promoter
chr7:112022772-112024553:167	promoter
chr11:116273605-116274431:575	promoter
chr3:103914088-103915025:341	promoter
chr2:35461104-35461582:369	promoter
chr5:75155803-75156669:557	promoter
chr8:91133588-91134496:483	promoter
chr8:47288264-47289586:1161	promoter
chr10:94035296-94036600:1012	promoter
