chrom	start	end	peak_midpoint	nearest_gene_name	nearest_gene_id	nearest_gene_type	nearest_gene_strand	distance_to_tss
chr1	4491570	4492646	4492108	Gm37587	ENSMUSG00000104238.1	processed_transcript	+	-4442
chr1	9748087	9748854	9748470	Vcpip1	ENSMUSG00000045210.8	protein_coding	-	89
chr1	10877374	10877809	10877591	Gm28659	ENSMUSG00000100648.1	processed_pseudogene	+	8904
chr1	12718065	12718837	12718451	Sulf1	ENSMUSG00000016918.15	protein_coding	+	26175
chr1	17097324	17098199	17097761	Jph1	ENSMUSG00000042686.5	protein_coding	-	-127
chr1	23279698	23280319	23280008	Mir30a	ENSMUSG00000065405.3	miRNA	+	7740
chr1	23762777	23763232	23763004	B3gat2	ENSMUSG00000026156.8	protein_coding	+	1252
chr1	30718605	30719072	30718838	Gm9898	ENSMUSG00000053185.2	lincRNA	-	-1123
chr1	34005494	34006251	34005872	Gm23792	ENSMUSG00000084506.1	snRNA	-	24371
chr1	41390083	41390915	41390499	Gm28634	ENSMUSG00000100185.1	lincRNA	-	-139043
chr1	50927005	50928252	50927628	Gm28322	ENSMUSG00000100671.1	lincRNA	+	23185
chr1	51265012	51265781	51265396	Cavin2	ENSMUSG00000045954.7	protein_coding	+	-23729
chr1	51288656	51290022	51289339	Cavin2	ENSMUSG00000045954.7	protein_coding	+	214
chr1	51333553	51334581	51334067	9330175M20Rik	ENSMUSG00000101799.1	antisense	-	289
chr1	51837827	51838266	51838046	Gm29453	ENSMUSG00000101724.1	sense_intronic	-	-11071
chr1	51879214	51879803	51879508	Gm28323	ENSMUSG00000100313.1	sense_intronic	-	-99
chr1	54005872	54006509	54006190	Gm24251	ENSMUSG00000087949.1	snRNA	-	119250
chr1	55405565	55406878	55406221	Plcl1	ENSMUSG00000038349.10	protein_coding	+	301
chr1	58359528	58359925	58359726	Gm37607	ENSMUSG00000103839.1	TEC	-	-26407
chr1	58585772	58586956	58586364	Ndufb3	ENSMUSG00000026032.8	protein_coding	+	-19
chr1	60718555	60718951	60718753	Cd28	ENSMUSG00000026012.2	protein_coding	+	1954
chr1	61298007	61298565	61298286	Gm11587	ENSMUSG00000085248.2	lincRNA	+	-3622
chr1	62181472	62182102	62181787	Pard3bos2	ENSMUSG00000085019.2	antisense	-	45679
chr1	62244571	62245020	62244795	Gm38351	ENSMUSG00000102359.1	TEC	+	-2357
chr1	62411995	62412480	62412237	Pard3bos3	ENSMUSG00000085400.1	antisense	-	-87023
chr1	62702993	62703784	62703388	Nrp2	ENSMUSG00000025969.15	protein_coding	+	104
chr1	62729410	62730165	62729787	Gm29083	ENSMUSG00000100811.1	antisense	-	11715
chr1	62747661	62748240	62747950	Gm29083	ENSMUSG00000100811.1	antisense	-	29878
chr1	63871473	63872345	63871909	Gm13751	ENSMUSG00000080817.1	processed_pseudogene	-	26332
chr1	64078298	64079192	64078745	Gm13748	ENSMUSG00000086836.1	antisense	+	92
chr1	64087913	64088695	64088304	Gm13748	ENSMUSG00000086836.1	antisense	+	9651
chr1	64482059	64482400	64482229	Gm28980	ENSMUSG00000099658.1	processed_pseudogene	-	27653
chr1	64690415	64691722	64691068	2810408I11Rik	ENSMUSG00000087213.2	processed_transcript	-	410
chr1	64737316	64738184	64737750	Fzd5	ENSMUSG00000045005.9	protein_coding	-	0
chr1	74284451	74285228	74284839	Pnkd	ENSMUSG00000026179.14	protein_coding	+	-90
chr1	74854661	74855262	74854961	Cdk5r2	ENSMUSG00000090071.4	protein_coding	+	28
chr1	75210345	75211206	75210775	Glb1l	ENSMUSG00000026200.13	protein_coding	-	-37
chr1	75219078	75219638	75219358	Tuba4a	ENSMUSG00000026202.13	protein_coding	-	-506
chr1	77202914	77203398	77203156	Gm38265	ENSMUSG00000102904.1	TEC	-	56165
chr1	77514939	77515427	77515183	Gm28386	ENSMUSG00000101849.1	lincRNA	+	-96
chr1	79581348	79581805	79581576	Gm37886	ENSMUSG00000102235.1	TEC	-	-39457
chr1	84839158	84840424	84839791	Fbxo36	ENSMUSG00000073633.9	protein_coding	+	-49
chr1	86581910	86583076	86582493	Pde6d	ENSMUSG00000026239.14	protein_coding	-	-135
chr1	89943239	89943583	89943411	Gbx2	ENSMUSG00000034486.8	protein_coding	-	12233
chr1	95665878	95666573	95666225	St8sia4	ENSMUSG00000040710.10	protein_coding	-	-1345
chr1	106389592	106390096	106389844	A530053M12Rik	ENSMUSG00000100247.1	lincRNA	-	-12142
chr1	119238335	119238954	119238644	Gm3508	ENSMUSG00000100767.1	processed_pseudogene	-	-4108
chr1	126925338	126925893	126925615	4930599A14Rik	ENSMUSG00000101600.1	lincRNA	-	49001
chr1	128456843	128457637	128457240	Gm23902	ENSMUSG00000088196.1	snoRNA	+	-32799
chr1	131345334	131346044	131345689	Gm38262	ENSMUSG00000102733.1	TEC	-	3007
chr1	131478747	131479208	131478977	Gm24273	ENSMUSG00000076287.1	miRNA	-	-19824
chr1	132477216	132477719	132477467	Rbbp5	ENSMUSG00000026439.14	protein_coding	+	103
chr1	134955506	134956293	134955899	Ppp1r12b	ENSMUSG00000073557.12	protein_coding	-	-42
chr1	134987289	134988308	134987798	Ube2t	ENSMUSG00000026429.9	protein_coding	+	25234
chr1	135698922	135699762	135699342	Nav1	ENSMUSG00000009418.16	protein_coding	-	11238
chr1	135770877	135771571	135771224	Phlda3	ENSMUSG00000041801.5	protein_coding	+	5106
chr1	136131036	136131681	136131358	Kif21b	ENSMUSG00000041642.18	protein_coding	+	-30
chr1	136260036	136260519	136260277	Gpr25	ENSMUSG00000052759.7	protein_coding	-	-595
chr1	136624495	136625940	136625217	Zfp281	ENSMUSG00000041483.14	protein_coding	+	317
chr1	136784192	136784564	136784378	Gm8762	ENSMUSG00000104360.1	processed_pseudogene	-	-5141
chr1	136915393	136915935	136915664	Nr5a2	ENSMUSG00000026398.14	protein_coding	-	-44783
chr1	137898243	137898846	137898544	Gm4258	ENSMUSG00000098243.3	processed_transcript	+	-50
chr1	151692894	151693391	151693142	2810414N06Rik	ENSMUSG00000100594.1	lincRNA	-	-61875
chr1	152168180	152168749	152168464	Gm8964	ENSMUSG00000102090.1	processed_pseudogene	+	39880
chr1	152223551	152224208	152223879	Gm38238	ENSMUSG00000103744.1	TEC	-	-68648
chr1	153679105	153679767	153679436	Gm29529	ENSMUSG00000100945.1	antisense	-	-13219
chr1	154102746	154103578	154103162	A830008E24Rik	ENSMUSG00000100627.6	lincRNA	-	-14788
chr1	155416673	155417727	155417200	Xpr1	ENSMUSG00000026469.14	protein_coding	-	-214
chr1	157449899	157450593	157450246	Cryzl2	ENSMUSG00000033488.11	protein_coding	+	-8330
chr1	158356033	158356578	158356305	Brinp2	ENSMUSG00000004031.13	protein_coding	-	-20
chr1	159034884	159035340	159035112	Pappa2	ENSMUSG00000073530.11	protein_coding	-	54623
chr1	159064918	159065609	159065263	4930562F17Rik	ENSMUSG00000104014.1	lincRNA	+	-69008
chr1	159670584	159671331	159670957	Gm10530	ENSMUSG00000073528.7	processed_transcript	+	56209
chr1	162004992	162005740	162005366	2810442N19Rik	ENSMUSG00000090260.1	antisense	+	398
chr1	162217235	162218194	162217714	Dnm3os	ENSMUSG00000078190.7	antisense	+	92
chr1	162254255	162254814	162254534	Mir214	ENSMUSG00000065516.1	miRNA	+	31167
chr1	163443866	163444280	163444073	Gorab	ENSMUSG00000040124.5	protein_coding	-	40405
chr1	165655465	165655802	165655633	Gm18407	ENSMUSG00000104517.1	processed_pseudogene	-	10946
chr1	168287870	168288539	168288204	Gm37524	ENSMUSG00000103780.1	TEC	-	-49466
chr1	169099027	169099732	169099379	Mir6354	ENSMUSG00000098829.1	miRNA	-	80291
chr1	169160832	169161301	169161066	Mir6354	ENSMUSG00000098829.1	miRNA	-	141978
chr1	169238489	169239098	169238793	Gm37839	ENSMUSG00000103530.1	lincRNA	-	-108838
chr1	170963112	170963621	170963366	Gm38204	ENSMUSG00000103676.1	antisense	+	-10006
chr1	171287255	171288280	171287767	Usp21	ENSMUSG00000053483.13	protein_coding	-	-223
chr1	171328774	171330075	171329424	Dedd	ENSMUSG00000013973.12	protein_coding	+	280
chr1	171379756	171380433	171380094	Arhgap30	ENSMUSG00000048865.16	protein_coding	+	-8859
chr1	172026946	172027666	172027306	Vangl2	ENSMUSG00000026556.15	protein_coding	-	-1137
chr1	172481510	172482393	172481951	Igsf9	ENSMUSG00000037995.15	protein_coding	+	164
chr1	172562635	172563752	172563193	4933439K11Rik	ENSMUSG00000085184.9	processed_transcript	-	5065
chr1	176813251	176814514	176813882	Cep170	ENSMUSG00000057335.11	protein_coding	-	-184
chr1	176814485	176815134	176814809	Sdccag8	ENSMUSG00000026504.17	protein_coding	+	150
chr1	180848058	180849211	180848634	Sde2	ENSMUSG00000038806.7	protein_coding	+	-2492
chr1	183147335	183147949	183147642	BC085271	ENSMUSG00000102478.1	transcribed_processed_pseudogene	-	-58914
chr1	185587505	185588338	185587921	5033404E19Rik	ENSMUSG00000102185.1	transcribed_processed_pseudogene	+	100628
chr1	185610636	185611107	185610871	5033404E19Rik	ENSMUSG00000102185.1	transcribed_processed_pseudogene	+	123578
chr1	194746755	194747251	194747003	2900035J10Rik	ENSMUSG00000103776.1	TEC	+	14297
chr1	194955768	194956133	194955950	Cd34	ENSMUSG00000016494.9	protein_coding	+	17132
chr10	3696639	3697447	3697043	Plekhg1	ENSMUSG00000040624.18	protein_coding	+	-43320
chr10	5604413	5604769	5604591	Myct1	ENSMUSG00000046916.9	protein_coding	+	10817
chr10	7158408	7159422	7158915	Cnksr3	ENSMUSG00000015202.13	protein_coding	-	-53321
chr10	8213984	8214453	8214218	Gm30906	ENSMUSG00000112109.1	lincRNA	+	38088
chr10	8752346	8752828	8752587	Gm48654	ENSMUSG00000111215.1	lincRNA	+	39347
chr10	10253012	10253414	10253213	Gm31904	ENSMUSG00000112219.1	lincRNA	-	18364
chr10	12548524	12549126	12548825	Gm48798	ENSMUSG00000112816.1	TEC	-	127230
chr10	12787920	12788432	12788176	Gm23044	ENSMUSG00000088516.1	snRNA	-	-5797
chr10	12821265	12821715	12821490	Gm7525	ENSMUSG00000112698.1	processed_pseudogene	+	-24597
chr10	13552717	13553536	13553126	Pex3	ENSMUSG00000019809.16	protein_coding	-	-15
chr10	14056852	14057651	14057251	Hivep2	ENSMUSG00000015501.10	protein_coding	+	91177
chr10	15300051	15300694	15300372	Gm47710	ENSMUSG00000112928.1	lincRNA	+	142
chr10	16589424	16589842	16589633	Gm47729	ENSMUSG00000112929.1	lincRNA	+	5366
chr10	17722632	17723818	17723225	Cited2	ENSMUSG00000039910.10	protein_coding	+	8
chr10	17869914	17870365	17870139	Gm7584	ENSMUSG00000093537.1	processed_pseudogene	+	52761
chr10	20486510	20487317	20486913	Gm17229	ENSMUSG00000092051.2	transcribed_processed_pseudogene	-	-32854
chr10	20547866	20548592	20548229	Gm17229	ENSMUSG00000092051.2	transcribed_processed_pseudogene	-	28462
chr10	20724850	20725386	20725118	Pde7b	ENSMUSG00000019990.15	protein_coding	-	41
chr10	21669659	21670585	21670122	Gm5420	ENSMUSG00000056716.10	lincRNA	+	-16288
chr10	25449301	25449816	25449558	Gm47830	ENSMUSG00000112445.1	processed_pseudogene	-	33374
chr10	26375874	26376228	26376051	L3mbtl3	ENSMUSG00000039089.15	protein_coding	-	81
chr10	28074351	28075078	28074714	Ptprk	ENSMUSG00000019889.10	protein_coding	+	-105
chr10	37138801	37139138	37138969	Marcks	ENSMUSG00000069662.5	protein_coding	-	50
chr10	39540988	39541458	39541223	Gm16364	ENSMUSG00000087014.1	antisense	-	-16838
chr10	39645777	39646251	39646014	2900078I11Rik	ENSMUSG00000111358.1	TEC	-	-12411
chr10	40882810	40883259	40883034	Cdc40	ENSMUSG00000038446.8	protein_coding	-	-276
chr10	40883200	40884019	40883609	Wasf1	ENSMUSG00000019831.14	protein_coding	+	135
chr10	43173054	43173601	43173327	Gm29246	ENSMUSG00000102062.1	antisense	+	65
