chrom	start	end	peak_midpoint	nearest_gene_name	nearest_gene_id	nearest_gene_type	nearest_gene_strand	distance_to_tss
chr1	1599004	1599928	1599466	FNDC10	ENSG00000228594.4	protein_coding	-	-668
chr1	2228861	2229708	2229284	SKI	ENSG00000157933.11	protein_coding	+	1897
chr1	4656272	4656819	4656545	AJAP1	ENSG00000196581.11	protein_coding	+	1937
chr1	6784175	6785593	6784884	CAMTA1-DT	ENSG00000237436.1	lncRNA	-	42
chr1	7110249	7110747	7110498	CAMTA1-AS3	ENSG00000237365.1	lncRNA	-	96220
chr1	8816313	8816660	8816486	ENSG00000228423	ENSG00000228423.2	lncRNA	-	9436
chr1	10507275	10507848	10507561	DFFA	ENSG00000160049.12	protein_coding	-	35033
chr1	10646324	10646809	10646566	ENSG00000272078	ENSG00000272078.1	lncRNA	+	7326
chr1	10653482	10654396	10653939	ENSG00000272078	ENSG00000272078.1	lncRNA	+	14699
chr1	10795837	10796956	10796396	CASZ1	ENSG00000130940.15	protein_coding	-	-253
chr1	12617879	12618739	12618309	ENSG00000288927	ENSG00000288927.2	lncRNA	+	-79
chr1	13781816	13782915	13782365	ENSG00000289380	ENSG00000289380.1	lncRNA	+	24588
chr1	15849042	15850316	15849679	SPEN-AS1	ENSG00000179743.4	lncRNA	-	1533
chr1	16078933	16079259	16079096	FAM131C	ENSG00000185519.9	protein_coding	-	5446
chr1	20551893	20554062	20552977	FAM43B	ENSG00000183114.8	protein_coding	+	405
chr1	21176510	21177688	21177099	ENSG00000287192	ENSG00000287192.1	lncRNA	+	46
chr1	23367795	23368668	23368231	ZNF436-AS1	ENSG00000249087.9	lncRNA	+	-707
chr1	23562299	23562728	23562513	ID3	ENSG00000117318.9	protein_coding	-	3013
chr1	23751109	23751679	23751394	ELOA	ENSG00000011007.13	protein_coding	+	7947
chr1	26161136	26162351	26161743	FAM110D	ENSG00000197245.6	protein_coding	+	2665
chr1	26692167	26692767	26692467	ENSG00000290006	ENSG00000290006.1	lncRNA	+	-118
chr1	26692800	26693506	26693153	ARID1A	ENSG00000117713.21	protein_coding	+	-82
chr1	26695270	26696393	26695831	ENSG00000260063	ENSG00000260063.1	lncRNA	-	1701
chr1	26697982	26698609	26698295	ENSG00000260063	ENSG00000260063.1	lncRNA	-	4165
chr1	26723085	26724077	26723581	ENSG00000260063	ENSG00000260063.1	lncRNA	-	29451
chr1	26783918	26784560	26784239	PIGV	ENSG00000060642.12	protein_coding	+	-2814
chr1	27392045	27393073	27392559	GPR3	ENSG00000181773.7	protein_coding	+	-62
chr1	27395330	27395765	27395547	GPR3	ENSG00000181773.7	protein_coding	+	2926
chr1	27551195	27552317	27551756	ENSG00000237429	ENSG00000237429.1	lncRNA	+	25952
chr1	27599049	27599666	27599357	AHDC1	ENSG00000126705.15	protein_coding	-	-5073
chr1	27603060	27604382	27603721	AHDC1	ENSG00000126705.15	protein_coding	-	-709
chr1	28736265	28738181	28737223	ENSG00000289291	ENSG00000289291.1	lncRNA	-	-446
chr1	28955883	28956366	28956124	ENSG00000225616	ENSG00000225616.2	processed_pseudogene	-	-26483
chr1	31762627	31763207	31762917	ADGRB2	ENSG00000121753.13	protein_coding	-	-1975
chr1	32771781	32772262	32772021	KIAA1522	ENSG00000162522.11	protein_coding	+	30192
chr1	32772783	32773483	32773133	KIAA1522	ENSG00000162522.11	protein_coding	+	31304
chr1	34162898	34163605	34163251	CSMD2	ENSG00000121904.19	protein_coding	-	-2590
chr1	34163600	34164264	34163932	CSMD2	ENSG00000121904.19	protein_coding	-	-1909
chr1	34166710	34167090	34166900	C1orf94	ENSG00000142698.15	protein_coding	+	18
chr1	35370020	35370695	35370357	ZMYM4-AS1	ENSG00000227409.1	lncRNA	-	4281
chr1	35556853	35558085	35557469	NCDN	ENSG00000020129.16	protein_coding	+	-3
chr1	36136546	36136925	36136735	COL8A2	ENSG00000171812.13	protein_coding	-	11514
chr1	37807524	37809358	37808441	YRDC	ENSG00000196449.4	protein_coding	-	234
chr1	38046662	38048105	38047383	MIR3659HG	ENSG00000224592.5	lncRNA	+	70
chr1	38455698	38456353	38456025	LINC01685	ENSG00000238063.3	lncRNA	+	-18799
chr1	39268013	39268950	39268481	ENSG00000226438	ENSG00000226438.1	lncRNA	-	10833
chr1	39297598	39297993	39297795	HSPE1P8	ENSG00000217897.2	processed_pseudogene	-	-7102
chr1	39332299	39332697	39332498	HSPE1P8	ENSG00000217897.2	processed_pseudogene	-	27601
chr1	39691083	39692412	39691747	HPCAL4	ENSG00000116983.13	protein_coding	-	263
chr1	40708720	40709801	40709260	NFYC-AS1	ENSG00000272145.2	lncRNA	-	17187
chr1	41152251	41153334	41152792	RPL23AP17	ENSG00000215893.3	processed_pseudogene	+	54155
chr1	41360811	41362331	41361571	FOXO6	ENSG00000204060.8	protein_coding	+	-350
chr1	43936381	43936798	43936589	ARTN	ENSG00000117407.17	protein_coding	+	3270
chr1	44799616	44800745	44800180	PLK3	ENSG00000173846.13	protein_coding	+	-196
chr1	44800742	44801120	44800931	PLK3	ENSG00000173846.13	protein_coding	+	555
chr1	44826184	44827017	44826600	RNU5E-6P	ENSG00000202444.1	snRNA	-	6604
chr1	45018643	45019183	45018913	HECTD3	ENSG00000126107.15	protein_coding	-	7590
chr1	45204967	45205455	45205211	LINC01144	ENSG00000281912.1	lncRNA	+	-98698
chr1	45205563	45207082	45206322	LINC01144	ENSG00000281912.1	lncRNA	+	-97587
chr1	46131783	46133545	46132664	PIK3R3	ENSG00000117461.15	protein_coding	-	-371
chr1	46613808	46614223	46614015	MOB3C	ENSG00000142961.16	protein_coding	-	-2795
chr1	46643212	46643926	46643569	NENFP1	ENSG00000233647.2	processed_pseudogene	-	-22805
chr1	47963305	47964129	47963717	TRABD2B	ENSG00000269113.4	protein_coding	-	-33667
