chrom	start	end	peak_midpoint	nearest_gene_name	nearest_gene_id	nearest_gene_type	nearest_gene_strand	distance_to_tss
chr1	3671350	3671979	3671664	Xkr4	ENSMUSG00000051951.5	protein_coding	-	167
chr1	4412313	4412894	4412603	Rp1	ENSMUSG00000025900.13	protein_coding	-	3363
chr1	4426657	4427327	4426992	Rp1	ENSMUSG00000025900.13	protein_coding	-	17752
chr1	4470972	4471750	4471361	Gm37587	ENSMUSG00000104238.1	processed_transcript	+	-25189
chr1	4493217	4493893	4493555	Gm37587	ENSMUSG00000104238.1	processed_transcript	+	-2995
chr1	4496354	4496747	4496550	Gm37587	ENSMUSG00000104238.1	processed_transcript	+	0
chr1	4571448	4572264	4571856	Gm37323	ENSMUSG00000104328.1	lincRNA	-	-14395
chr1	4623290	4623704	4623497	Gm7369	ENSMUSG00000102735.1	processed_pseudogene	+	13027
chr1	4746713	4747282	4746997	Gm2053	ENSMUSG00000103265.1	processed_pseudogene	-	11322
chr1	4785370	4786089	4785729	Mrpl15	ENSMUSG00000033845.13	protein_coding	-	-9
chr1	4807442	4808299	4807870	Gm37988	ENSMUSG00000104217.1	protein_coding	+	-21
chr1	4857317	4857971	4857644	Tcea1	ENSMUSG00000033813.15	protein_coding	+	-169
chr1	5082905	5083616	5083260	Rgs20	ENSMUSG00000002459.17	protein_coding	-	12976
chr1	6214113	6215353	6214733	4732440D04Rik	ENSMUSG00000090031.2	antisense	-	-559
chr1	6272257	6272608	6272432	4732440D04Rik	ENSMUSG00000090031.2	antisense	-	57140
chr1	7088368	7089349	7088858	Pcmtd1	ENSMUSG00000051285.17	protein_coding	+	-61
chr1	7100529	7100954	7100741	Pcmtd1	ENSMUSG00000051285.17	protein_coding	+	11822
chr1	7397555	7398535	7398045	Gm26901	ENSMUSG00000097797.6	lincRNA	-	177
chr1	9545050	9545759	9545404	Rrs1	ENSMUSG00000061024.8	protein_coding	+	-3
chr1	9621460	9621893	9621676	2610203C22Rik	ENSMUSG00000079671.8	processed_transcript	-	-9498
chr1	9627229	9627958	9627593	2610203C22Rik	ENSMUSG00000079671.8	processed_transcript	-	-3581
chr1	9630037	9630591	9630314	2610203C22Rik	ENSMUSG00000079671.8	processed_transcript	-	-860
chr1	9630760	9631418	9631089	2610203C22Rik	ENSMUSG00000079671.8	processed_transcript	-	-85
chr1	9699867	9700942	9700404	Mybl1	ENSMUSG00000025912.16	protein_coding	-	196
chr1	9772761	9773109	9772935	Vcpip1	ENSMUSG00000045210.8	protein_coding	-	24554
chr1	9797751	9798768	9798259	Sgk3	ENSMUSG00000025915.14	protein_coding	+	153
chr1	9804514	9804951	9804732	Gm6195	ENSMUSG00000046334.4	processed_pseudogene	-	2180
chr1	9847941	9848661	9848301	Gm22607	ENSMUSG00000088916.1	snRNA	-	13700
chr1	9943682	9944381	9944031	Snhg6	ENSMUSG00000098234.7	lincRNA	-	-86
chr1	9966952	9968481	9967716	Tcf24	ENSMUSG00000099032.2	protein_coding	-	-215
chr1	10037777	10038326	10038051	Cspp1	ENSMUSG00000056763.16	protein_coding	+	65
chr1	10039455	10040329	10039892	Cops5	ENSMUSG00000025917.9	protein_coding	-	1725
chr1	10232108	10233445	10232776	Arfgef1	ENSMUSG00000067851.11	protein_coding	-	107
chr1	10880336	10880738	10880537	Gm28659	ENSMUSG00000100648.1	processed_pseudogene	+	11850
chr1	10942979	10943441	10943210	Gm22963	ENSMUSG00000088585.1	snoRNA	+	21541
chr1	10993152	10994101	10993626	Prex2	ENSMUSG00000048960.13	protein_coding	+	162
chr1	11033016	11033874	11033445	Prex2	ENSMUSG00000048960.13	protein_coding	+	39981
chr1	12864952	12865706	12865329	Slco5a1	ENSMUSG00000025938.16	protein_coding	-	-127320
chr1	13360654	13361154	13360904	Gm38380	ENSMUSG00000102664.1	TEC	-	4175
chr1	13366436	13367030	13366733	Ncoa2	ENSMUSG00000005886.14	protein_coding	-	-7349
chr1	13372222	13373779	13373000	Ncoa2	ENSMUSG00000005886.14	protein_coding	-	-1082
chr1	13373903	13374686	13374294	Ncoa2	ENSMUSG00000005886.14	protein_coding	-	212
chr1	13426069	13427175	13426622	Gm7593	ENSMUSG00000101171.1	processed_pseudogene	-	18968
chr1	13531494	13531862	13531678	Tram1	ENSMUSG00000025935.10	protein_coding	-	-58231
chr1	13589085	13590272	13589678	Tram1	ENSMUSG00000025935.10	protein_coding	-	-231
chr1	13659771	13660847	13660309	Lactb2	ENSMUSG00000025937.6	protein_coding	-	-236
chr1	15805319	15806423	15805871	Terf1	ENSMUSG00000025925.14	protein_coding	+	226
chr1	16104550	16106143	16105346	Rdh10	ENSMUSG00000025921.7	protein_coding	+	-427
chr1	16518542	16519558	16519050	Stau2	ENSMUSG00000025920.19	protein_coding	-	-1061
chr1	16618514	16619653	16619083	Ube2w	ENSMUSG00000025939.19	protein_coding	-	-405
